state.abb,state.name,id,geo_id,year,name,category,total_liabilities,current_liabilities,total_assets,current_assets,compensated_absences,expenses,revenues,unrestricted,population,urban_pop,pct_urban_pop,median_hh_income_21,url,modified_revenues,net_pension_liability,net_opeb_liability,assets_liab_ratio
OR,Oregon,37525,41000,2020,Oregon,General Purpose,24144226000,5709342000,43587406000,0,298326000,35844029000,35294208000,0,4237291,3410984,80.4998329107328,71441,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/OR/State%20of%20Oregon/OR%20State%20of%20Oregon%202020.pdf,-6259163000,3852015000,83701000,0.5539266548690693
PA,Pennsylvania,37697,42000,2020,Pennsylvania,General Purpose,79810308000,24454368000,80321348000,0,868402000,110869726000,109336712000,-49408849000,13002689,9941070,76.4538903458512,68931,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/PA/Commonwealth%20of%20Pennsylvania/PA%20Commonwealth%20of%20Pennsylvania%202020.pdf,-25987382000,15342810000,17054721000,0.9936375569792479
RI,Rhode Island,38202,44000,2020,Rhode Island,General Purpose,9830412000,2218816000,8970164000,0,91960000,10307636000,10232146000,0,1097371,999191,91.0524987265111,73324,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/RI/State%20of%20Rhode%20Island/RI%20State%20of%20Rhode%20Island%202020.pdf,-2294306000,3673476000,418509000,1.0959010336934754
SC,South Carolina,38235,45000,2020,South Carolina,General Purpose,15642105000,5251471000,39092758000,0,211882000,29178232000,31800560000,0,5118429,3477869,67.948030888408,59447,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/SC/State%20of%20South%20Carolina/SC%20State%20of%20South%20Carolina%202020.pdf,-2629143000,4024660000,3135126000,0.4001279469716616
SD,South Dakota,38382,46000,2020,South Dakota,General Purpose,2421365000,1637259000,9716432000,0,99061000,4629531000,5001397000,0,886677,507347,57.2195649550508,66843,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/SD/State%20of%20South%20Dakota/SD%20State%20of%20South%20Dakota%202020.pdf,-1265393000,-2196000,0,0.249203102538051
TN,Tennessee,38453,47000,2020,Tennessee,General Purpose,9697381000,4732523000,50608538000,0,325088000,37393093000,39355553000,0,6910786,4577282,66.2333667108485,59698,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/TN/State%20of%20Tennessee/TN%20State%20of%20Tennessee%202020.pdf,-2770063000,960220000,1272523000,0.191615513572038
TX,Texas,38611,48000,2020,Texas,General Purpose,250250365000,36689788000,380361621000,0,2035843000,198789968000,199988664000,0,29145428,24400697,83.7202752191118,66959,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/TX/State%20of%20Texas/TX%20State%20of%20Texas%202020.pdf,-35491092000,67084585000,76983152000,0.6579274858017287
UT,Utah,39282,49000,2020,Utah,General Purpose,8052895000,2472354000,36807368000,0,210811000,16189477000,17241722000,2885425000,3271614,2937303,89.7814107768149,79449,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/UT/State%20of%20Utah/UT%20State%20of%20Utah%202020.pdf,-1420109000,730772000,18760000,0.2187848639435452
VT,Vermont,39343,50000,2020,Vermont,General Purpose,7263223731,1806660294,6660063394,0,42012068,7420747690,7162262953,-3992919322,643085,225850,35.1202111100226,72415,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/VT/State%20of%20Vermont/VT%20State%20of%20Vermont%202020.pdf,-2065145031,2387778363,2237128790,1.0905637531233385
VA,Virginia,39392,51000,2020,Virginia,General Purpose,26563639000,8847384000,62882563000,0,338027000,53696012000,58156929000,0,8631384,6528313,75.6345238827615,80926,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/VA/Commonwealth%20of%20Virginia/VA%20Commonwealth%20of%20Virginia%202020.pdf,-4386467000,4559932000,1255256000,0.42243251121936615
WA,Washington,39528,53000,2020,Washington,General Purpose,84090857000,9561046000,110548541000,0,910960000,74240928000,72609544000,0,7705247,6424035,83.3718458807667,84155,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/WA/State%20of%20Washington/WA%20State%20of%20Washington%202020.pdf,-11192430000,3338862000,5799742000,0.7606690802007057
WV,West Virginia,39745,54000,2020,West Virginia,General Purpose,13162213000,463785000,22067965000,0,93744000,14668039000,14506334000,0,1793755,800857,44.647926427595,51122,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/WV/State%20of%20West%20Virginia/WV%20State%20of%20West%20Virginia%202020.pdf,-625490000,2901259000,1067763000,0.5964398167207534
WI,Wisconsin,39818,55000,2020,Wisconsin,General Purpose,28548691000,10066495000,56779826000,0,2593896000,42320767000,44293015000,-7682356000,5893725,3953691,67.0831383517162,67150,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/WI/State%20of%20Wisconsin/WI%20State%20of%20Wisconsin%202020.pdf,-8094247000,-895288646,1073310646,0.5027963805313528
WY,Wyoming,40122,56000,2020,Wyoming,General Purpose,10270669870,7145725573,30601334531,0,68787262,4726734280,4701674995,0,576837,357750,62.017748083994,66508,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/WY/State%20of%20Wyoming/WY%20State%20of%20Wyoming%202020.pdf,-7170784858,463995694,381732888,0.3356281687517754
AL,Alabama,31550,01000,2021,Alabama,General Purpose,15007563000,3279338000,42222752000,0,334749000,30075201000,33575970000,-8827941000,5024356,2900880,57.7372395123758,53990,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AL/State%20of%20Alabama/AL%20State%20of%20Alabama%202021.pdf,221431000,3976285000,987056000,0.35543782176964683
AK,Alaska,31574,02000,2021,Alaska,General Purpose,16726973000,8741798000,107832869000,0,203580000,12317135000,28467439000,20329729000,733378,475967,64.899487449396,78437,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AK/State%20of%20Alaska/AK%20State%20of%20Alaska%202021.pdf,7408506000,5069963000,-545176000,0.15511942838134077
AZ,Arizona,40623,04000,2021,Arizona,General Purpose,27669843000,6938052000,63302682000,0,506854000,56310879000,62994579000,0,7151507,6385230,89.2851599566077,68967,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AZ/State%20of%20Arizona/AZ%20State%20of%20Arizona%202021.pdf,-254352000,6262883000,1548477000,0.43710380233178747
AR,Arkansas,49082,05000,2021,Arkansas,General Purpose,13893664000,1784111000,33196845000,0,308084000,27137766000,29104967000,0,3011555,1670677,55.476131022034,52577,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AR/State%20of%20Arkansas/AR%20State%20of%20Arkansas%202021.pdf,183090000,2485079000,2944665000,0.4185236277724585
