"","state.abb","state.name","id","geo_id","year","name","category","total_liabilities","current_liabilities","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","total_assets","current_assets","compensated_absences","expenses","revenues","unrestricted","population","urban_pop","pct_urban_pop","median_hh_income_21","url"
"326","MN","Minnesota",34733,"27123",2022,"ramsey county","General Purpose",900210029,116645199,388662150,NA,96266505,NA,1882882091,961649434,31408008,968568009,1015644642,52204285,552362,552241,0.999799041191125,70485,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/MN/Ramsey%20County/MN%20Ramsey%20County%202022.pdf"
"327","NC","North Carolina",36570,"37081",2020,"guilford county","General Purpose",1222139137,107168872,57377689,813392,337432974,0,0,0,9551963,618755929,652058437,-754388312,541309,464669,0.858433139540254,60915,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/NC/Guilford%20County/NC%20Guilford%20County%202020.pdf"
"328","NC","North Carolina",36570,"37081",2021,"guilford county","General Purpose",1109307693,94049754,72405772,928096,289414798,0,0,0,12483632,657946240,735541035,-681252698,541309,464669,0.858433139540254,60915,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/NC/Guilford%20County/NC%20Guilford%20County%202021.pdf"
"329","NC","North Carolina",36570,"37081",2022,"guilford county","General Purpose",1176623930,143709216,38481933,762695,237114303,0,869445992,597346064,10860713,665897440,733869823,0,541309,464669,0.858433139540254,60915,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/NC/Guilford%20County/NC%20Guilford%20County%202022.pdf"
"330","OH","Ohio",1035946,"39153",2020,"summit county","General Purpose",535726723,40371864,217580458,0,149155201,102498,0,0,28743976,575124669,621513094,-290610161,540436,519989,0.962179975870976,63191,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/OH/Summit%20County/OH%20Summit%20County%202020.pdf"
"331","OH","Ohio",1035946,"39153",2021,"summit county","General Purpose",399405110,102885886,168030910,0,0,0,0,0,26951787,434259036,568121941,0,540436,519989,0.962179975870976,63191,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/OH/Summit%20County/OH%20Summit%20County%202021.pdf"
"332","OH","Ohio",1035946,"39153",2022,"summit county","General Purpose",429439876,143626838,95481772,0,0,33641622,1362534741,845448685,27051379,492167058,583237040,-129717386,540436,519989,0.962179975870976,63191,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/OH/Summit%20County/OH%20Summit%20County%202022.pdf"
"333","WA","Washington",39537,"53063",2020,"spokane county","General Purpose",447342000,92018000,34115000,17006000,40495000,0,0,0,0,453742000,526863000,221485000,539332,460455,0.853739484813818,65571,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/WA/Spokane%20County/WA%20Spokane%20County%202020.pdf"
"334","WA","Washington",39537,"53063",2021,"spokane county","General Purpose",411292000,97956000,11016000,126683000,40621000,0,0,0,13547000,394153000,523189000,259840000,539332,460455,0.853739484813818,65571,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/WA/Spokane%20County/WA%20Spokane%20County%202021.pdf"
"335","WA","Washington",39537,"53063",2022,"spokane county","General Purpose",498070000,152314000,23172000,56416000,40697000,0,1703985000,776415000,14551000,488836000,582220000,294271000,539332,460455,0.853739484813818,65571,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/WA/Spokane%20County/WA%20Spokane%20County%202022.pdf"
"336","OH","Ohio",83817,"39113",2020,"montgomery county","General Purpose",707900209,54779689,275674018,3069266,192563183,0,0,0,29766231,772456125,818520898,0,537316,507630,0.944763627633261,56636,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/OH/Montgomery%20County/OH%20Montgomery%20County%202020.pdf"
"337","OH","Ohio",83817,"39113",2021,"montgomery county","General Purpose",517922339,116570216,215416415,4417631,0,25906760,0,0,32191948,527791598,771662439,105987965,537316,507630,0.944763627633261,56636,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/OH/Montgomery%20County/OH%20Montgomery%20County%202021.pdf"
"338","OH","Ohio",83817,"39113",2022,"montgomery county","General Purpose",483478319,156994033,125220998,5743972,NA,44888931,2152290210,1042640108,34360756,661804138,661804138,201182222,537316,507630,0.944763627633261,56636,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/OH/Montgomery%20County/OH%20Montgomery%20County%202022.pdf"
"339","PA","Pennsylvania",37707,"42029",2020,"chester county","General Purpose",740035948,123245858,17207877,0,10387000,0,0,0,11794285,511304596,519453232,0,534408,431206,0.806877826699575,109616,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/PA/Chester%20County/PA%20Chester%20County%202020.pdf"
"340","PA","Pennsylvania",37707,"42029",2021,"chester county","General Purpose",783337969,167140369,0,10092870,10802000,0,0,0,11801247,506422753,544517424,-54427099,534408,431206,0.806877826699575,109616,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/PA/Chester%20County/PA%20Chester%20County%202021.pdf"
