"","state.abb","state.name","id","geo_id","year","name","category","total_liabilities","current_liabilities","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","total_assets","current_assets","compensated_absences","expenses","revenues","unrestricted","bonds_outstanding","loans_outstanding","notes_outstanding","population","urban_pop","pct_urban_pop","median_hh_income_21","url"
"58","CA","California",31665,"06000",2021,"california","General Purpose",480810792000,151339228000,94255760000,0,93951696000,0,419461604000,238896776000,5907133000,569018193000,573972781000,-227096122000,109884676000,19815357000,1577454000,39538245,37259490,94.2366327389068,84831,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/State%20of%20California/CA%20State%20of%20California%202021.pdf"
"59","GA","Georgia",1265711,"13000",2021,"georgia","General Purpose",44216533000,13756082000,8456148000,90146000,6370648000,254679000,73304004000,0,681405000,73263471000,78710603000,0,11599136000,0,354618000,10711937,7933986,74.0669729426354,66507,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/GA/State%20of%20Georgia/GA%20State%20of%20Georgia%202021.pdf"
"60","FL","Florida",32221,"12000",2021,"florida","General Purpose",76561985000,16014011000,10243863000,0,7142549000,0,183625218000,0,850110000,128032435000,136963300000,-10000860000,19327136000,0,18865000,21538226,19714806,91.534194591216,63054,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/FL/State%20of%20Florida/FL%20State%20of%20Florida%202021.pdf"
"61","HI","Hawaii",71062,"15000",2021,"hawaii","General Purpose",32322093000,3997605000,7814788000,0,6516876000,0,25972001000,0,293786000,19359781000,17733597000,-12518427000,12160159000,717096000,200000000,1455273,1252450,86.0630081957244,85547,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/HI/State%20of%20Hawaii/HI%20State%20of%20Hawaii%202021.pdf"
"62","IA","Iowa",1036991,"19000",2021,"iowa","General Purpose",9323755000,26687000,1077174000,0,468779000,0,31703103000,0,587113000,27804747000,30159253000,3836229000,3044848000,0,0,3190372,2014831,63.1535411734505,65645,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/IA/State%20of%20Iowa/IA%20State%20of%20Iowa%202021.pdf"
"63","CT","Connecticut",149448,"09000",2021,"connecticut","General Purpose",106761347000,5205641000,42551460000,0,26040226000,0,43684541000,0,791037000,47016379000,45371906000,-68176149000,29770530000,0,0,3605942,3110153,86.2507293513155,83628,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CT/State%20of%20Connecticut/CT%20State%20of%20Connecticut%202021.pdf"
"64","IL","Illinois",1267369,"17000",2021,"illinois","General Purpose",270295626000,22967916000,151870659000,0,56669748000,0,61507898000,0,448385000,124485837000,119714303000,-223762156,31325180000,0,5332680000,12812545,11137590,86.9274774306482,72215,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/IL/State%20of%20Illinois/IL%20State%20of%20Illinois%202021.pdf"
"65","ID","Idaho",32673,"16000",2021,"idaho","General Purpose",4619378000,1949499000,564007000,0,100958000,0,22044972000,0,90481000,12729692000,14814011000,2518848000,829328000,0,497437000,1839092,1273437,69.2421752742909,66318,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/ID/State%20of%20Idaho/ID%20State%20of%20Idaho%202021.pdf"
"66","KS","Kansas",33447,"20000",2021,"kansas","General Purpose",10466817000,2953827000,2261074000,0,51241000,0,23567266000,0,120267000,20499676000,21921225000,0,4044351000,0,5184000,2937847,2124059,72.2990387626452,64128,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/KS/State%20of%20Kansas/KS%20State%20of%20Kansas%202021.pdf"
"67","KY","Kentucky",90208,"21000",2021,"kentucky","General Purpose",41626348000,3523315000,26615447000,0,3195447000,0,37741186000,0,274075000,33360397000,39524417000,0,5566569000,0,557126000,4505893,2644856,58.6984524070561,55532,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/KY/Commonwealth%20of%20Kentucky/KY%20Commonwealth%20of%20Kentucky%202021.pdf"
"68","LA","Louisiana",90240,"22000",2021,"louisiana","General Purpose",37286338000,11000094000,7652518000,0,6249082000,0,40664471000,0,238418000,42128306000,43165436000,0,8452875000,0,26573000,4657749,3332237,71.5416669439818,52090,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/LA/State%20of%20Louisiana/LA%20State%20of%20Louisiana%202021.pdf"
"69","MI","Michigan",80814,"26000",2021,"michigan","General Purpose",38108406000,11540044000,7651000000,0,7778200000,0,59599175000,0,459700000,84563377000,91287735000,0,7505300000,0,80700000,10077325,7404258,73.4743951548282,63444,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/MI/State%20of%20Michigan/MI%20State%20of%20Michigan%202021.pdf"
