"","state.abb","state.name","id","geo_id","year","name","total_liabilities","current_liabilities","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","total_assets","current_assets","compensated_absences","expenses","revenues","population","median_hh_income_21"
"121","OK","Oklahoma",125836,"4051800",2020,"nichols hills",39136318,1342261,3778107,652280,718031,0,0,0,515639,15612967,16803825,3864,NA
"122","LA","Louisiana",75756,"2227155",2020,"franklin",11413894,942225,4909131,0,0,0,0,0,0,9750007,9418044,6715,NA
"123","AR","Arkansas",43357,"0541000",2020,"little rock",466946359,37505897,239668156,0,14379270,0,0,0,34133594,336455421,327313633,202562,53565
"124","OK","Oklahoma",125695,"4051300",2020,"newkirk",2432669,107669,0,0,0,0,0,0,0,4810478,4479799,2172,NA
"125","AR","Arkansas",96193,"0541420",2020,"lonoke",668434,668434,941679,0,0,0,0,0,79779,11018724,7060956,4269,NA
"126","AR","Arkansas",96196,"0541720",2020,"lowell",229614,229614,6494333,0,0,0,0,0,0,14061824,17208246,9844,NA
"127","OK","Oklahoma",125844,"4051850",2020,"nicoma park",3953643,432900,0,0,0,0,0,0,0,1548329,1677399,2311,NA
"128","OK","Oklahoma",125545,"4052150",2020,"noble",2524542,190126,0,0,0,0,0,0,0,5640518,6297647,6985,NA
"129","AR","Arkansas",96220,"0546970",2020,"morrilton",590487,590487,4374413,0,0,0,0,0,0,10861138,9189284,6987,NA
"130","AR","Arkansas",96223,"0547540",2020,"mountain view",114056,114056,1480132,0,0,0,0,0,0,10846956,17237052,2869,NA
"131","AR","Arkansas",96227,"0548560",2020,"nashville",722331,0,2984091,0,0,0,0,0,207150,7725426,9214886,4156,NA
"132","NY","New York",36050,"3673000",2020,"syracuse",1774033514,79798135,190044852,29560359,748954550,0,0,0,15404574,730589004,802986886,148608,40076
"133","AR","Arkansas",49077,"0549580",2020,"newport",228727,228727,3116398,0,0,0,0,0,398627,7684638,8706672,8010,NA
"134","AR","Arkansas",110938,"0543460",2020,"magnolia",98017,98017,5368778,0,0,0,0,0,108781,11533305,12362839,11162,NA
"135","AR","Arkansas",110955,"0543610",2020,"malvern",132441,132441,5004110,0,0,0,0,0,565823,7648288,15514165,10858,NA
"136","AR","Arkansas",96200,"0544180",2020,"marion",1212469,1212469,0,0,0,0,0,0,0,12743180,12354332,13772,NA
"137","AR","Arkansas",31660,"0550450",2020,"north little rock",214166673,8561581,139970035,0,6688731,0,0,0,13395944,181101545,188116697,64600,NA
"138","OK","Oklahoma",41018,"4052500",2020,"norman",323602298,22565617,40296319,241484,8762331,0,0,0,10334412,183268874,198075497,127991,57786
"139","LA","Louisiana",55317,"2229850",2020,"gonzales",45536194,1159938,18614276,0,10865011,0,0,0,578966,30413545,31436317,12223,NA
"140","AR","Arkansas",96201,"0544210",2020,"marked tree",57134,57134,1278423,0,0,0,0,0,25042,2140408,2332438,2279,NA
"141","AR","Arkansas",203830,"0552580",2020,"osceola",8759799,2282485,0,0,0,0,0,0,388448,22167078,24499619,6974,NA
"142","AR","Arkansas",96217,"0546580",2020,"monticello",222544,222544,4846980,0,0,0,0,0,82368,7801191,8983485,8441,NA
"143","AR","Arkansas",96268,"0562240",2020,"salesville",0,0,0,0,0,0,0,0,0,210956,256543,472,NA
"144","AR","Arkansas",96238,"0552970",2020,"ozark",235615,235615,949748,0,0,0,0,0,111740,4749399,4777952,3541,NA
"145","AR","Arkansas",96270,"0563020",2020,"searcy",7130101,480835,128514,0,0,0,0,0,1865674,27563543,28783446,22939,NA
"146","LA","Louisiana",33810,"2232755",2020,"hammond",54308604,3562587,30971829,0,2392104,0,0,0,5036410,39890677,42284485,19622,NA
"147","AR","Arkansas",96241,"0553480",2020,"paris",286752,88194,0,0,0,0,0,0,0,6792705,6544788,3186,NA
"148","AR","Arkansas",101805,"0554200",2020,"pea ridge",177334,177334,1579423,0,0,0,0,0,0,4269269,5035804,6588,NA
"149","LA","Louisiana",93329,"2232930",2020,"harahan",9620588,2089529,4093915,0,0,0,0,0,581465,8895486,9738521,9123,NA
"150","AR","Arkansas",96273,"0563710",2020,"sheridan",314480,314480,3238878,0,0,0,0,0,193477,5293339,6035510,4981,NA
"151","GA","Georgia",1036258,"1341988",2020,"jefferson",40443115,1784064,2689862,0,9414004,0,0,0,367373,17971497,23875197,13240,NA
"152","AR","Arkansas",31659,"0555310",2020,"pine bluff",3833037,3833037,18867198,0,0,0,0,0,4222331,67068112,65877227,41257,NA
"153","AR","Arkansas",96252,"0556750",2020,"portland",18072,18072,82920,0,0,0,0,0,0,353082,361050,323,NA
"154","AR","Arkansas",196353,"0556540",2020,"pocahontas",7462,7462,0,0,0,0,0,0,0,867745,867745,7390,NA
"155","AR","Arkansas",96275,"0563800",2020,"sherwood",1159427,1159427,8178051,0,0,0,0,0,1314531,33057873,35518103,32756,NA
"156","IL","Illinois",71226,"1702674",2020,"athens",7641280,1355346,189676,0,0,0,0,0,0,2621853,2610521,1975,NA
"157","AR","Arkansas",91955,"0564370",2020,"siloam springs",30255543,6889414,9900403,0,2600747,0,0,0,1458767,52807410,61643473,17389,NA
"158","AR","Arkansas",96276,"0564730",2020,"smackover",0,0,0,0,0,0,0,0,0,1795651,1965829,1632,NA
"159","AR","Arkansas",31663,"0566080",2020,"springdale",292336705,14585199,42645118,0,5491227,0,0,0,3151114,89043170,107237974,87315,63396
"160","OK","Oklahoma",125851,"4055150",2020,"okmulgee",49082031,1541444,3736988,278217,0,0,0,0,920485,18120833,20656481,11304,NA
"161","AR","Arkansas",96324,"0577090",2020,"wynne",0,0,0,0,0,0,0,0,0,0,0,8315,NA
"162","GA","Georgia",111544,"1342184",2020,"jersey",488321,821,0,0,0,0,0,0,0,106961,472491,144,NA
"163","AZ","Arizona",47734,"0402830",2020,"apache junction",65287890,2617904,42504515,0,0,0,0,0,1784278,40831541,49166428,38512,NA
"164","AZ","Arizona",31632,"0404720",2020,"avondale",175371372,18597767,68014606,0,38864,0,0,0,7016077,133926665,176185359,89345,71423
"165","AZ","Arizona",110870,"0406260",2020,"bisbee",41720083,781482,32083751,0,79365,72965,0,0,200375,19065190,14031971,4926,NA
"166","AZ","Arizona",48770,"0407940",2020,"buckeye",334522392,23876538,50097089,0,0,0,0,0,3135012,173560304,204276817,91535,75417
"167","AZ","Arizona",31640,"0408220",2020,"bullhead",76661500,8639675,29315403,0,0,255056,0,0,3012616,49401885,54293217,41353,NA
"168","LA","Louisiana",33799,"2231915",2020,"gretna",56725832,3351896,29153979,0,1192154,0,0,0,2213862,42787531,44239190,17813,NA
"169","OK","Oklahoma",125575,"4054000",2020,"oilton",2011221,2046,45897,0,0,0,0,0,0,1303015,1288091,882,NA
"170","AR","Arkansas",31657,"0560410",2020,"rogers",43367581,5686406,4064513,0,0,0,0,0,0,167079890,126647496,69913,67408
"171","AZ","Arizona",90267,"0410530",2020,"casa grande",174186803,8520920,72179418,0,0,0,0,0,2619680,87158162,107521023,53660,NA
"172","AZ","Arizona",31633,"0412000",2020,"chandler",993301804,38727213,293895280,0,53112727,0,2430590211,0,15199811,507986971,577349614,276010,94613
"173","AR","Arkansas",31655,"0567490",2020,"stuttgart",1084204,1084204,7149964,0,0,0,0,0,349801,14572847,14762416,8269,NA
"174","OK","Oklahoma",125824,"4054200",2020,"okemah",3240247,110837,0,0,0,0,0,0,0,4110674,3940878,3076,NA
"175","AR","Arkansas",101822,"0568360",2020,"swifton",7920,7920,110028,0,0,0,0,0,0,345352,433366,725,NA
"176","AZ","Arizona",44392,"0415500",2020,"coolidge",20295570,1713673,14090830,301356,27263,140822,0,0,485362,19862736,30574405,13259,NA
"177","AZ","Arizona",31647,"0416410",2020,"cottonwood",72076513,2670850,25734086,6614,89653,137684,0,0,1525381,35838898,42492358,12099,NA
