"","state","id","year","name","total_liabilities","current_liabilities","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","total_assets","current_assets","compensated_absences","expenses","revenues"
"144","IA","163169",2020,"Prairie Valley Community School District",7302740,1119122,3282861,0,639352,0,0,0,52690,9990796,10412540
"145","TX","163492",2020,"Celeste Independent School District",11336795,395042,1527405,0,2556721,0,0,0,0,7732408,8166222
"146","TX","163494",2020,"Central Heights Independent School District",18805830,582054,2087719,0,3111710,0,0,0,0,13103827,14632674
"147","TX","163493",2020,"Celina Independent School District",179802846,8095318,7204480,0,9690421,0,0,0,0,42293262,40869124
"148","TX","163507",2020,"Cisco Independent School District",6467217,563843,2157092,0,3530102,0,0,0,0,12145572,11894258
"149","TX","163495",2020,"Channing Independent School District",2362413,307198,525115,0,705981,0,0,0,0,2947862,3007142
"150","TX","163498",2020,"Charlotte Independent School District",14020158,846546,1636759,0,2117409,0,0,0,0,7967180,8256672
"151","TX","163500",2020,"Chester Independent School District",2145901,363595,646544,0,1046809,0,0,0,0,3012356,3120369
"152","TX","163501",2020,"Chico Independent School District",22164058,615336,1836426,0,2285324,0,0,0,0,9714705,10244756
"153","TX","163499",2020,"Cherokee Independent School District",1534306,152726,508229,0,707446,0,0,0,0,2184697,2532617
"154","IA","163166",2020,"Pocahontas Area Community School District",10393681,853717,4415588,0,281536,0,0,0,0,12442659,13119950
"155","TX","163504",2020,"Chireno Independent School District",3976621,216214,1183689,0,1788904,0,0,0,0,5301308,5712581
"156","TX","163506",2020,"Christoval Independent School District",5884440,1371399,920812,0,1648908,0,0,0,0,6998863,11466960
"157","TX","163505",2020,"Chisum Independent School District",37156111,1398462,2075570,0,3020222,0,0,0,0,16933181,15377940
"158","TX","163508",2020,"City View Independent School District",25154436,1439570,2875474,0,4219889,0,0,0,0,16438364,18684114
"159","TX","163510",2020,"Claude Independent School District",3980734,550766,938085,0,1301883,0,0,0,0,4510500,6577209
"160","TX","163502",2020,"Chillicothe Independent School District",13092770,11165092,687565,0,1240113,0,0,0,0,3961014,5029967
"161","TX","163503",2020,"Chilton Independent School District",6220571,444709,1599184,0,2259603,0,0,0,0,7720078,8350814
"162","VT","65810",2020,"Mount Abraham Unified School District",3464818,1787390,0,0,0,0,0,0,92322,39424879,39764732
"163","IA","163180",2020,"Riceville Community School District",4648720,808058,1696429,0,273104,0,0,0,0,5936901,5877460
"164","IA","163191",2020,"Schleswig Community School District",5591135,436644,1097533,0,286443,0,0,0,26349,4072105,4496168
"165","IA","163182",2020,"River Valley Community School District",4471064,578783,2286825,0,70456,0,0,0,0,6151140,7178288
