"","state.abb","state.name","id","geo_id","year","name","total_liabilities","net_pension_liability","net_opeb_liability","current_liabilities","net_pension_assets","net_opeb_assets","total_assets","expenses","revenues","population","urban_pop","pct_urban_pop","median_hh_income_21"
"4078","GA","Georgia",96536,"13267",2020,"tattnall county",9579894,2187662,0,1102838,0,0,0,17641345,20084083,24287,0,0,44225
"4079","SC","South Carolina",128008,"45001",2020,"abbeville county",22556256,13066180,0,5915615,0,0,0,16420826,18413356,24287,5107,0.210207861699938,49485
"4080","GA","Georgia",96536,"13267",2021,"tattnall county",11227411,2280238,0,3345839,0,0,0,17822300,18744397,24287,0,0,44225
"4081","SC","South Carolina",128008,"45001",2021,"abbeville county",23954156,14486453,0,6460188,0,0,0,18670418,22772762,24287,5107,0.210207861699938,49485
"4082","GA","Georgia",96536,"13267",2022,"tattnall county",10356000,1442227,0,4430710,0,0,42049913,19971106,21672925,24287,0,0,44225
"4083","SC","South Carolina",128008,"45001",2022,"abbeville county",23201921,12128977,0,3932295,0,0,47696056,23256821,26365702,24287,5107,0.210207861699938,49485
"4084","KY","Kentucky",115772,"21137",2020,"lincoln county",0,0,0,0,0,0,0,9336224,9231774,24276,26,0.00107106076210093,44399
"4085","KY","Kentucky",115772,"21137",2021,"lincoln county",0,0,0,0,0,0,0,7484297,8652823,24276,26,0.00107106076210093,44399
"4086","KY","Kentucky",115772,"21137",2022,"lincoln county",0,0,0,0,0,0,0,9171396,14807620,24276,26,0.00107106076210093,44399
"4087","ID","Idaho",111566,"16013",2020,"blaine county",17158124,7751965,280664,2007016,0,0,0,34250856,31821875,24275,18381,0.757292353328939,86735
"4088","ID","Idaho",111566,"16013",2021,"blaine county",10524139,0,318229,3888005,255696,0,0,31114554,35145793,24275,18381,0.757292353328939,86735
"4089","ID","Idaho",111566,"16013",2022,"blaine county",25754759,13166689,320717,6645241,0,0,64117773,38980167,38630932,24275,18381,0.757292353328939,86735
"4090","ID","Idaho",111579,"16053",2021,"jerome county",12987726,0,0,3522927,125664,0,0,15360579,19836684,24241,12405,0.511820769897265,59040
"4091","ID","Idaho",111579,"16053",2022,"jerome county",20883643,6391190,0,5481170,0,0,45123809,18735340,20030359,24241,12405,0.511820769897265,59040
"4092","NE","Nebraska",108799,"31047",2020,"dawson county",0,0,0,0,0,0,0,22531116,20138711,24111,10438,0.432914437393721,61817
"4093","NE","Nebraska",108799,"31047",2021,"dawson county",0,0,0,0,0,0,0,16928878,23658221,24111,10438,0.432914437393721,61817
"4094","NE","Nebraska",108799,"31047",2022,"dawson county",0,0,0,0,0,0,26735663,22603777,23810610,24111,10438,0.432914437393721,61817
"4095","KY","Kentucky",1036541,"21013",2020,"bell county",0,0,0,0,0,0,0,13399022,13235905,24102,9815,0.407312113541105,31033
