"","state.abb","state.name","id","geo_id","year","name","category","total_liabilities","current_liabilities","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","total_assets","current_assets","compensated_absences","expenses","revenues","unrestricted","population","median_hh_income_21"
"117","OK","Oklahoma",37337,"4039850",2020,"kingfisher","General Purpose",6757024,887637,3449159,10664,0,32201,0,0,749379,16518111,16215650,0,4927,NA
"118","OK","Oklahoma",125636,"4041350",2020,"lamont","General Purpose",0,0,0,0,0,0,0,0,0,285900,259837,0,297,NA
"119","AR","Arkansas",48995,"0515190",2020,"conway","General Purpose",145999189,3096209,84387155,0,5720142,0,0,0,4184486,66789639,77076307,0,64149,53029
"120","AR","Arkansas",101757,"0522660",2020,"fairfield bay","General Purpose",151344,151344,556083,0,0,0,0,0,0,2904026,3179628,0,2109,NA
"121","KY","Kentucky",33594,"2163912",2020,"radcliff","General Purpose",30964126,313073,22706487,0,5885952,0,0,0,392638,16666692,14849648,-14702543,23026,NA
"122","AR","Arkansas",96225,"0548200",2020,"mulberry","General Purpose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1542,NA
"123","AR","Arkansas",101758,"0523170",2020,"farmington","General Purpose",88527,88527,3732520,0,0,0,0,0,0,7266996,6969468,0,7584,NA
"124","KY","Kentucky",56701,"2165226",2020,"richmond","General Purpose",130738899,3718899,52006363,0,13409113,0,0,0,3949677,59728373,62155476,3014820,34594,NA
"125","OK","Oklahoma",125785,"4041500",2020,"langley","General Purpose",1542724,132425,0,0,0,0,0,0,0,1444474,1800117,0,603,NA
"126","AR","Arkansas",103845,"0515460",2020,"corning","General Purpose",120579,120579,1321476,0,0,0,0,0,34507,2913328,3532557,0,3225,NA
"127","AR","Arkansas",31662,"0523290",2020,"fayetteville","General Purpose",255689608,24947222,63873545,0,1785709,0,0,0,11844130,158490359,182859760,59130487,94308,61428
"128","NY","New York",44629,"3665508",2020,"schenectady","General Purpose",78713224,32064360,55559791,0,332288275,0,0,0,2530611,146020724,125486868,0,67050,53316
"129","NY","New York",43745,"3665893",2020,"scotia","General Purpose",0,0,5414639,0,19067010,0,0,0,227017,10509262,10422144,0,7272,NA
"130","GA","Georgia",59701,"1335716",2020,"grovetown","General Purpose",24001646,1836712,1269740,0,0,0,0,0,210220,6946151,7016477,0,15573,NA
"131","GA","Georgia",111378,"1335884",2020,"guyton","General Purpose",9568515,328683,0,101473,0,0,0,0,14817,2627928,3268895,0,2285,NA
"132","OK","Oklahoma",125652,"4039950",2020,"kinta","General Purpose",0,0,0,0,0,0,0,0,0,0,0,0,281,NA
"133","AR","Arkansas",101761,"0524010",2020,"flippin","General Purpose",0,0,0,0,0,0,0,0,0,1594339,1643994,0,1347,NA
"134","OK","Oklahoma",125898,"4040000",2020,"kiowa","General Purpose",2464438,35180,0,0,0,0,0,0,0,1871930,2074224,244655893,598,NA
"135","AR","Arkansas",110991,"0524430",2020,"forrest","General Purpose",582967,582967,8194500,0,0,0,0,0,553887,13713480,14122784,0,13014,NA
"136","AR","Arkansas",91388,"0524550",2020,"fort smith","General Purpose",389915810,12389799,72777980,0,11197468,0,0,0,3017317,150054143,177025920,0,89141,44718
"137","OK","Oklahoma",125648,"4041700",2020,"laverne","General Purpose",4040155,278520,0,0,0,0,0,0,0,2413455,3132559,0,1226,NA
"138","AR","Arkansas",96121,"0526290",2020,"gentry","General Purpose",297,297,1101835,0,0,0,0,0,0,5168451,4938348,0,3795,NA
"139","KY","Kentucky",401614,"2182776",2020,"whitesburg","General Purpose",9555873,47446,7069034,0,0,0,0,0,93134,6829812,5468589,-5651025,1772,NA
"140","KY","Kentucky",93325,"2183676",2020,"winchester","General Purpose",42461692,820630,31370494,0,7852536,0,0,0,874634,25843448,21987871,0,19149,NA
"141","AR","Arkansas",110925,"0528360",2020,"gravette","General Purpose",109887,109887,2320614,0,0,0,0,0,132778,4676650,4384506,0,3543,NA
"142","AR","Arkansas",101765,"0528510",2020,"greenbrier","General Purpose",5637441,329046,0,0,0,0,0,0,76405,2549223,2611118,0,5713,NA
"143","OK","Oklahoma",125590,"4042050",2020,"leedey","General Purpose",697255,59444,33681,0,0,0,0,0,0,446922,816947,284880,416,NA
"144","AR","Arkansas",101764,"0528600",2020,"green forest","General Purpose",36771,36771,2582220,0,0,0,0,0,0,2561691,2896134,0,2976,NA
"145","AR","Arkansas",110998,"0528780",2020,"greenwood","General Purpose",545364,545364,2047902,0,0,0,0,0,324226,9822716,15777303,0,9520,NA
"146","LA","Louisiana",96876,"2200100",2020,"abbeville","General Purpose",39767602,1237305,11449131,0,22740704,0,0,0,694764,24848402,23955927,0,11194,NA
"147","OK","Oklahoma",125550,"4042200",2020,"lehigh","General Purpose",595197,0,0,0,0,0,0,0,0,341414,196537,35533,272,NA
"148","NY","New York",82367,"3667638",2020,"sleepy hollow","General Purpose",83168497,2627694,9575486,0,44498749,0,0,0,998234,26372769,25188694,-39867174,9976,NA
"149","LA","Louisiana",74850,"2200240",2020,"abita springs","General Purpose",7747524,2543204,1075042,0,0,0,0,0,14077,3351934,4076262,0,2625,NA
"150","OK","Oklahoma",125544,"4042700",2020,"lexington","General Purpose",3352112,104482,26991,0,0,0,0,0,79568,3447284,3258826,627603,2011,NA
"151","AR","Arkansas",110928,"0530460",2020,"harrison","General Purpose",1410557,1410557,11613848,0,0,0,0,0,0,18653633,26440090,0,13069,NA
"152","OK","Oklahoma",125614,"4043150",2020,"lindsay","General Purpose",4483484,769069,1475546,542748,111339,0,0,0,162001,9065930,9510359,0,2861,NA
"153","LA","Louisiana",1238407,"2200835",2020,"albany","General Purpose",4433663,376890,0,0,0,0,0,0,17843,1856580,2811411,0,1230,NA
"154","LA","Louisiana",33807,"2200975",2020,"alexandria","General Purpose",257523939,10864174,42151554,0,21485162,0,0,0,5435917,168243205,174551338,0,45271,NA
"155","KY","Kentucky",116156,"2170050",2020,"shelbyville","General Purpose",27270993,1123401,15093914,0,3922184,0,0,0,934785,12931943,13389299,0,17286,NA
"156","LA","Louisiana",75674,"2224460",2020,"estherwood","General Purpose",936449,117095,0,0,0,0,0,0,0,561957,530699,0,697,NA
"157","OK","Oklahoma",125653,"4044950",2020,"mccurtain","General Purpose",1644892,61184,0,0,0,0,0,0,0,531829,611221,0,356,NA
"158","LA","Louisiana",75323,"2212280",2020,"campti","General Purpose",600630,80006,223385,0,0,0,0,0,0,1259941,1144010,0,888,NA
"159","LA","Louisiana",75325,"2212420",2020,"cankton","General Purpose",222131,197498,0,0,0,0,0,0,0,587907,521953,0,583,NA
"160","CO","Colorado",111044,"0801090",2020,"alamosa","General Purpose",20441742,2612275,3508180,NA,NA,NA,79394319,23240232,1223984,17177600,21600309,16321195,9817,NA
"161","LA","Louisiana",96886,"2212665",2020,"carencro","General Purpose",26545678,2681578,5699393,0,0,0,0,0,264864,14473134,21629268,0,9277,NA
"162","LA","Louisiana",90645,"2213260",2020,"castor","General Purpose",13004,6575,0,0,0,0,0,0,0,210904,185826,0,231,NA
"163","LA","Louisiana",75359,"2213960",2020,"central","General Purpose",1209421,1007553,176448,0,0,0,0,0,1105,7891263,14354145,0,29563,NA
"164","LA","Louisiana",100170,"2214450",2020,"chataignier","General Purpose",28672,28672,0,0,0,0,0,0,0,320461,193172,0,262,NA
"165","OK","Oklahoma",125912,"4045350",2020,"mcloud","General Purpose",2854990,278,0,0,0,0,0,0,0,2989650,3451870,1040892,4351,NA
"166","LA","Louisiana",75369,"2214660",2020,"cheneyville","General Purpose",932386,125302,0,0,0,0,0,0,0,974160,864885,0,465,NA
"167","LA","Louisiana",33802,"2229640",2020,"golden meadow","General Purpose",2352007,261510,1518484,0,430654,0,0,0,4359,2390398,2707791,3110006,1758,NA
"168","LA","Louisiana",74938,"2201885",2020,"amite","General Purpose",6144032,403898,1215146,0,0,0,0,0,112192,6649281,6894146,0,4010,NA
"169","LA","Louisiana",74940,"2201920",2020,"anacoco","General Purpose",44548,16173,0,0,0,0,0,0,0,444164,441226,0,851,NA
"170","LA","Louisiana",95141,"2202655",2020,"arcadia","General Purpose",1857607,310067,1547540,0,0,0,0,0,0,3388524,3335386,179687,2747,NA
"171","MI","Michigan",1238841,"2669520",2020,"roosevelt park","General Purpose",8619695,309221,3190971,0,1634719,0,0,0,62130,5651729,4730348,-2253359,4171,NA
"172","AR","Arkansas",103874,"0531090",2020,"heber springs","General Purpose",212620,212620,3163481,0,0,0,0,0,154415,6542823,7582702,0,6967,NA
"173","OK","Oklahoma",125533,"4043750",2020,"lone grove","General Purpose",9747038,12156,0,0,0,0,0,0,0,3616211,3399763,1322988,4992,NA
"174","LA","Louisiana",74943,"2203110",2020,"arnaudville","General Purpose",1391901,193238,1085663,0,0,0,0,0,0,1996105,2034731,0,1000,NA
"175","OK","Oklahoma",125495,"4043950",2020,"longdale","General Purpose",0,0,0,0,0,0,0,0,0,253541,211933,0,184,NA
"176","LA","Louisiana",74999,"2203320",2020,"athens","General Purpose",14420,14420,0,0,0,0,0,0,0,248271,449969,0,238,NA
"177","OK","Oklahoma",125699,"4044300",2020,"loyal","General Purpose",0,0,0,0,0,0,0,0,0,86667,108772,0,69,NA
"178","OK","Oklahoma",125835,"4044500",2020,"luther","General Purpose",120453,29328,0,0,0,0,0,0,0,1206495,1312844,65673841,1495,NA
"179","LA","Louisiana",75044,"2203985",2020,"baker","General Purpose",27350703,3771289,12796398,0,6548374,0,0,0,896409,18795132,15767288,0,12479,NA
"180","LA","Louisiana",75046,"2204020",2020,"baldwin","General Purpose",1520494,869785,259587,0,0,0,0,0,0,2857429,2963546,-842608,1757,NA
"181","LA","Louisiana",75047,"2204055",2020,"ball","General Purpose",3319402,448348,2606844,0,0,0,0,0,34276,3964683,3342294,-1479645,3967,NA
