"","state.abb","name_census","population","geo_id","source_year","state.name","name","government_id","id","nces_district_id","year","category","identifier","current_assets","net_pension_assets","non_current_assets","net_opeb_assets","total_assets","net_pension_liability","net_opeb_liability","current_portion_long_term_liabilities","compensated_absences","current_liabilities","total_liabilities","bonds_outstanding","loans_outstanding","notes_outstanding","total_net_position_governmental","total_net_position_business","total_net_position","unrestricted","expenses","charges_for_services","operating_grants","capital_grants","general_revenue","activities_change_in_net_position","cash","receivables","revenues","name_midfile","flg_acfr","flg_muni","flg_county"
"100","CA","moreno valley city",208640,"0649270","2023","California","moreno valley","05203340100000",31838,NA,2023,"General Purpose","CA Moreno Valley 2023",511260564,NA,987874514,NA,1499135078,84102896,5733797,10847688,7054926,86304813,273161363,69591889,NA,NA,1163196633,83731746,1246928379,182536378,241907663,85858472,59834575,21318089,162362322,87465795,386365738,54630335,329373458,"city of moreno valley",1,1,0
"101","NC","fayetteville city",208470,"3722920","2023","North Carolina","fayetteville","34202600100000",196952,NA,2023,"General Purpose","NC Fayetteville 2023",297038707,NA,629311850,NA,926350557,81340832,49393475,22368713,9357515,91544264,333451295,79966245,NA,175209,431646180,186504104,618150284,34186817,257987888,45628096,39469610,19297287,174607033,21014138,164220196,53624081,279002026,"city of fayetteville",1,1,0
"102","CA","fontana city",208387,"0624680","2023","California","fontana","05203600400000",31844,NA,2023,"General Purpose","CA Fontana 2023",618520272,NA,952356522,NA,1570876794,204425833,18892762,16240338,11450235,123099942,428955069,57368689,7286614,NA,1091572382,80435849,1172008231,122618409,280767230,101021197,51038308,30344047,206946417,108582739,494252086,41698092,389349969,"city of fontana",1,1,0
"103","GA","columbus city",206922,"1319000","2023","Georgia","consolidated government of columbus-muscogee county","11210600200000",111473,NA,2023,"General Purpose","GA Consolidated Government of Columbus-muscogee county 2023",538103907,NA,593296588,NA,1131400495,182551563,33823582,36226809,8967933,105681948,616898072,291637365,NA,12209287,517627980,29271397,546899377,21389385,338225508,53086479,23765982,6941511,331840482,77408945,NA,NA,415634454,"consolidated government of columbus",1,1,0
"104","MA","worcester city",206519,"2582000","2023","Massachusetts","worcester","22201400400000",41676,NA,2023,"General Purpose","MA Worcester 2023",597371114,NA,1745924581,NA,2343295695,440859190,1187124177,97128712,16217000,409345496,3009459269,974410000,NA,12780000,-854916449,43784974,-811131475,-1627513340,1158651367,134739040,553665958,47069286,464275699,41098616,326014948,168946301,1199749983,"city of worcester",1,1,0
"105","FL","port st lucie city",204856,"1258715","2023","Florida","port st lucie","10205650200000",1265863,NA,2023,"General Purpose","FL Port St. Lucie 2023",754823564,NA,1523909509,NA,2278733073,30680819,29013860,38010113,17512532,109368989,847709717,678952725,14280000,NA,876221564,595675110,1471896674,199100910,396552060,194077426,14699131,85376697,222662142,120263336,372268877,167872514,516815396,"city of port st lucie",1,1,0
"106","AR","little rock city",202562,"0541000","2023","Arkansas","little rock","04206000400000",43357,NA,2023,"General Purpose","AR Little Rock 2023",251247550,NA,885342400,NA,1136589950,289789030,24497707,40203315,37571551,111926902,599674245,148210695,NA,12165543,594860226,37825169,632685395,-163845932,359114570,68143544,35440687,3104639,272836026,20410326,23629175,129311841,379524896,"city of little rock",1,1,0
"107","CA","oxnard city",202067,"0654652","2023","California","oxnard","05205600300000",31895,NA,2023,"General Purpose","CA Oxnard 2023",507813900,NA,2652910718,NA,3160724618,348728549,49001476,45649230,21358413,144756913,924856416,329383975,NA,293313,1913245699,435976194,2349221893,-39578246,451672462,193798809,74822027,2557794,227750219,47256387,436170115,70375858,498928849,"city of oxnard",1,1,0
"108","AL","birmingham city",200646,"0107000","2023","Alabama","birmingham","01203700300000",31566,NA,2023,"General Purpose","AL Birmingham 2023",778299000,236000,695030000,NA,1473329000,681524000,140740000,NA,19499000,207408000,1674853000,219654000,NA,NA,-328664000,NA,-328664000,-812565000,548100000,61163000,136436000,29572000,458846000,137917000,719783000,47741000,686017000,"city of birmingham",1,1,0
"109","AL","montgomery city",200586,"0151000","2023","Alabama","montgomery","01205100100000",31571,NA,2023,"General Purpose","AL Montgomery 2023",206316007,NA,400834607,NA,607150614,280883262,391788863,32287844,21059685,82843526,1020575024,175815304,NA,NA,-442454985,17942489,-424512496,-807077137,335862671,52615298,28587956,25759963,266116567,37217113,70017998,43546974,373079784,"city of montgomery",1,1,0
