"","state.abb","state.name","id","geo_id","year","name","total_liabilities","current_liabilities","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","total_assets","current_assets","compensated_absences","expenses","revenues","population","urban_pop","pct_urban_pop","median_hh_income_21"
"78","MS","Mississippi",95852,"28000",2021,"mississippi",13476966000,2583039000,3482249000,0,176455000,0,30241359000,0,0,21839200000,23893800000,2961288,1370790,46.2904711106248,48871
"79","NJ","New Jersey",40624,"34000",2021,"new jersey",262003072072,13172773909,95235061386,614336,101605641478,0,68747889935,0,615000000,93538816036,97297109222,9289031,8708779,93.7537369493403,89227
"80","MT","Montana",64951,"30000",2021,"montana",5563416000,1766702000,2959075000,36545000,143844000,0,15684545000,0,117654000,9282102000,10149852000,1084197,579177,53.4185247527035,63357
"81","OK","Oklahoma",37320,"40000",2021,"oklahoma",7950765000,3747365000,991030000,17357000,149641000,35328000,32000426000,0,186022000,27501193000,29320747000,3959346,2558611,64.6219470706451,55829
"82","OH","Ohio",36835,"39000",2021,"ohio",56784830000,18006191000,3644138000,0,633413000,0,91083752000,0,625038000,95289768000,99447285000,11799374,9001099,76.2840685428674,62286
"83","NV","Nevada",35504,"32000",2021,"nevada",13758375000,6954942000,2354763000,0,882306000,0,24215809000,0,128833000,19931756000,20124503000,3104624,2921203,94.0923090599991,66194
"84","SD","South Dakota",38382,"46000",2021,"south dakota",1472340000,636370000,0,898000,0,0,9556840000,0,70074000,5833611000,6580233000,886677,507347,57.2195649550508,66843
"85","RI","Rhode Island",38202,"44000",2021,"rhode island",10147273000,2702862000,3693920000,0,345350000,11226000,10041109000,0,89157000,12335620000,12995210000,1097371,999191,91.0524987265111,73324
"86","SC","South Carolina",38235,"45000",2021,"south carolina",15940670000,4761001000,4433241000,0,3665935000,0,43339383000,0,209452000,33589622000,37882577000,5118429,3477869,67.948030888408,59447
"87","TN","Tennessee",38453,"47000",2021,"tennessee",9053756000,3985378000,1638313000,24146000,561603000,0,54501665000,0,348948000,41379437000,46054090000,6910786,4577282,66.2333667108485,59698
"88","TX","Texas",38611,"48000",2021,"texas",273949398000,44435834000,76785107000,0,73972610000,0,444107066000,0,2118895000,214764661000,254147623000,29145428,24400697,83.7202752191118,66959
"89","OR","Oregon",37525,"41000",2021,"oregon",23586456000,3522720000,5019150000,0,120715000,17677000,45339673000,0,336775000,41902530000,44699816000,4237291,3410984,80.4998329107328,71441
"90","UT","Utah",39282,"49000",2021,"utah",7729825000,2806348000,411417000,0,608000,0,40354202000,0,217280000,18104427000,21769260000,3271614,2937303,89.7814107768149,79449
"91","VA","Virginia",39392,"51000",2021,"virginia",34379093000,15040531000,5234981000,0,1230725000,0,72053311000,0,361096000,64909123000,69485315000,8631384,6528313,75.6345238827615,80926
"92","WI","Wisconsin",39818,"55000",2021,"wisconsin",28571435000,10165101000,0,1756036000,1327648000,249006000,60482041000,0,2716624000,46600244000,49808866000,5893725,3953691,67.0831383517162,67150
"93","NE","Nebraska",35432,"31000",2021,"nebraska",3885879000,2770566000,464824000,196308000,22304000,0,21141065000,0,140201000,12251781000,14280127000,1961489,1432003,73.005357113725,66949
"94","WV","West Virginia",39745,"54000",2021,"west virginia",13009788000,516932000,3450088000,99169000,285156000,0,23819363000,0,98971000,15967711000,17937193000,1793755,800857,44.647926427595,51122
"95","NH","New Hampshire",35545,"33000",2021,"new hampshire",6596112000,1484817000,1231186000,0,2197650000,0,8929945000,0,104004000,9693874000,10422044000,1377518,803420,58.323273049061,88268
"96","WY","Wyoming",40122,"56000",2021,"wyoming",9272163993,6035179638,432262923,970439,527492619,0,32081120603,0,64129637,5714795363,8345118535,576837,357750,62.017748083994,66508
"97","PA","Pennsylvania",37697,"42000",2021,"pennsylvania",88111700000,26705351000,15638886000,0,20243943000,0,91304334000,0,934388000,120314452000,127924673000,13002689,9941070,76.4538903458512,68931
"98","VT","Vermont",39343,"50000",2021,"vermont",7550556312,985651963,3043700350,0,2660856831,0,6455181544,0,44879014,8799556692,9063460054,643085,225850,35.1202111100226,72415
"99","WA","Washington",39528,"53000",2021,"washington",86950922000,10068030000,2509635000,2467388000,6051091000,0,116252761000,0,967603000,85014689000,88669804000,7705247,6424035,83.3718458807667,84155
"100","DE","Delaware",32212,"10000",2021,"delaware",19185075000,2491186000,1726785000,8830000,9564690000,0,16440516000,4944436000,242235000,13303770000,13557188000,989957,817817,82.6121170000849,71636
"101","MN","Minnesota",34704,"27000",2021,"minnesota",24774908000,7261740000,3239396000,0,687901000,0,52272292000,29742288000,561800000,56725995000,59996799000,5706504,4101754,71.878705208487,77712
"102","NM","New Mexico",82166,"35000",2021,"new mexico",20216469000,4117189000,9465093000,16932000,1419224000,0,58617130000,15346023000,208090000,27485101000,35714206000,2117527,1578552,74.5471357558505,54304
"103","AZ","Arizona",40623,"04000",2022,"arizona",24785156000,7179513000,4005498000,0,1158418000,123957000,71928237000,23549222000,513983000,54175737000,62720722000,7151507,6385230,89.2851599566077,68967
"104","CT","Connecticut",149448,"09000",2022,"connecticut",97471207000,7972469000,36132877000,0,20916477000,0,48109469000,21004440000,721487000,40578862000,44357964000,3605942,3110153,86.2507293513155,83628
"105","AK","Alaska",31574,"02000",2022,"alaska",12992621000,7970975000,2385726000,50916000,0,1978984000,104675321000,92208723000,197205000,9850996000,7917502000,733378,475967,64.899487449396,78437
"106","DC","District of Columbia",47298,"11000",2022,"district of columbia",20257809000,3486272000,298308000,262227000,173193000,0,28668182000,10082782000,1015000,18212259000,19361982000,689546,689545,100,91072
"107","IA","Iowa",1036991,"19000",2022,"iowa",9689205000,59175000,287823000,128969000,453731000,0,36381382000,13069040000,591363000,27434877000,31029959000,3190372,2014831,63.1535411734505,65645
"108","AL","Alabama",31550,"01000",2022,"alabama",15782655000,4026823000,3563587000,0,847193000,0,46509637000,15785057000,337147000,31015310000,34258018000,5024356,2900880,57.7372395123758,53990
"109","DE","Delaware",32212,"10000",2022,"delaware",17470769000,2150773500,392347000,1215401000,9319243000,0,19049452000,6308650000,226132200,11455407000,13284872000,989957,817817,82.6121170000849,71636
"110","AR","Arkansas",49082,"05000",2022,"arkansas",10589316000,2815654000,809251000,0,1556019000,0,35503018000,14836593000,480268000,25897732000,29551130000,3011555,1670677,55.476131022034,52577
"111","CO","Colorado",31946,"08000",2022,"colorado",37103515000,14785219000,8410864000,0,1567351000,0,61214825000,30383358000,704550000,45060065000,47079793000,5773733,4966936,86.0267065531822,82228
"112","ID","Idaho",32673,"16000",2022,"idaho",4430518000,2313910000,23641000,0,108492000,0,24354114000,4205616000,94466000,12540092000,14519523000,1839092,1273437,69.2421752742909,66318
