"","ncesID","id","year","name","total_liabilities","net_pension_liability","net_opeb_liability","net_pension_assets","net_opeb_assets","expenses","revenues","state.name","state.abb","enrollment_20","fte_20","revenue_nces_20","expenditure_nces_20","enrollment_21","fte_21","revenue_nces_21","expenditure_nces_21","county","city","zip","zip4","locale","latitude","longitude","congresstional_code","metro_code","enrollment_22","fte_22"
"70","4833120","38820",2020,"Northside Independent School District",3032820362,330423641,386107674,0,0,1297554866,1322943080,"Texas","TX",107817,7001.95,1281221000,1325003000,103151,6844.94,1223549000,1344525000,"Bexar County","SAN ANTONIO",78238,1699,"11-City: Large",29.490785,-98.601414,4820,"1-Metropolitan Area",102377,6792.17
"71","4703690","107389",2020,"Rutherford County Schools",194241342,NA,137665254,56254755,NA,443132101,444774269,"Tennessee","TN",47458,3083.9,461443000,493333000,47186,3008.05,501384000,563614000,"Rutherford County","Murfreesboro",37128,NA,"21-Suburb: Large",35.812086,-86.403053,4704,"1-Metropolitan Area",49253,3082.8
"72","5102250","1250804",2020,"Loudoun County Public Schools",1674258721,993580040,403737216,0,0,1461289718,1497874074,"Virginia","VA",83606,5995.09,1382367000,1493054000,81066,6114.58,1508890000,1533826000,"Loudoun County","Ashburn",20148,NA,"21-Suburb: Large",39.0337,-77.517751,5110,"1-Metropolitan Area",81131,5924
"73","0612330","146106",2020,"Elk Grove Unified School District",1218599815,749359000,11770913,0,0,887739046,841645710,"California","CA",63660,0,838162000,860041000,63157,2722.23,940531000,877050000,"Sacramento County","Elk Grove",95624,1801,"21-Suburb: Large",38.41158,-121.373061,607,"1-Metropolitan Area",62229,2763.54
"74","0404970","30554",2020,"Mesa Unified School District No.4",897959189,468531459,0,0,0,618205248,644754580,"Arizona","AZ",62703,3274.31,630987000,619835000,57956,3321.27,704867000,681325000,"Maricopa County","MESA",85201,7422,"11-City: Large",33.4147,-111.829291,409,"1-Metropolitan Area",58859,3476.15
"75","2200840","76062",2020,"Jefferson Parish Public School System",1465097782,538799170,625990594,0,0,682745988,670081371,"Louisiana","LA",49862,2362.9,671932000,633269000,48160,2302.73,730466000,665419000,"Jefferson Parish","Harvey",70058,3585,"21-Suburb: Large",29.8864,-90.055,2202,"1-Metropolitan Area",46896,2186.31
"76","2601103","161679",2020,"Detroit Community Schools",2022392486,0,0,0,0,97774688,176048439,"MICHIGAN","MI",50644,3106.83,882259000,832841000,48782,3074.53,932712000,872308000,"Wayne County","DETROIT",48202,3085,"11-City: Large",42.36924,-83.076781,2613,"1-Metropolitan Area",48536,3143.83
"77","4832940","38819",2020,"North East Independent School District",2132074073,184611924,237167621,0,0,836862448,803857410,"Texas","TX",64539,4255.59,759969000,769730000,60483,4224.64,773233000,713563000,"Bexar County","SAN ANTONIO",78217,NA,"11-City: Large",29.521666,-98.456886,4821,"1-Metropolitan Area",59830,4001.53
"78","1201590","98989",2020,"School District of Polk County",1056455681,501853478,33902309,0,0,1118958295,1149637602,"Florida","FL",102952,5856,1214768000,1182799000,100495,5865,1186101000,1295313000,"Polk County","BARTOW",33830,7124,"22-Suburb: Mid-size",27.87546,-81.846336,1217,"1-Metropolitan Area",105422,5927
"79","5103840","1265776",2020,"School Board of The City of Virginia Beach",985168847,678825000,152746000,0,0,934488801,985726201,"Virginia","VA",68706,4244.49,875527000,932013000,65612,4354.66,929419000,936164000,"Virginia Beach city","Virginia Beach",23456,6038,"11-City: Large",36.751983,-76.059624,5102,"1-Metropolitan Area",65450,4238
"80","1201440","102323",2020,"Orange County District School Board",2680621894,1128084763,58851299,0,0,2518940161,2676919286,"Florida","FL",208875,11946,2658681000,2665506000,199089,11757,2801991000,2627445000,"Orange County","ORLANDO",32801,1129,"21-Suburb: Large",28.55013,-81.385021,1210,"1-Metropolitan Area",203224,11386
"81","0622500","146325",2020,"Long Beach Unified School District",3148525800,922386344,425718817,0,0,1123576999,1136009100,"California","CA",71712,0,1173998000,1215628000,69413,2808.82,1266461000,1163778000,"Los Angeles County","Long Beach",90810,1839,"11-City: Large",33.82892,-118.213761,647,"1-Metropolitan Area",67292,2738.24
"82","0804800","32057",2020,"Jefferson County School District No R-1",2353743121,1347298359,66246238,0,0,731016376,1017567920,"Colorado","CO",84078,4726.72,1111695000,1118672000,80099,4700.91,1066060000,1181318000,"Jefferson County","GOLDEN",80401,1,"21-Suburb: Large",39.73862,-105.164489,807,"1-Metropolitan Area",76904,4722.6
"83","1200150","93779",2020,"Brevard District School Board County",970289235,393361434,17244106,0,0,809117325,802974791,"Florida","FL",73962,4515.1,800729000,791424000,70996,4397.07,834159000,780295000,"Brevard County","VIERA",32940,6601,"21-Suburb: Large",28.248696,-80.736704,1208,"1-Metropolitan Area",72497,4433.3
"84","1201500","93789",2020,"The School District of Palm Beach County",3401701000,1151170000,199429000,0,0,2568945000,2551761000,"Florida","FL",194675,11882.84,2591858000,2555723000,187057,11696.46,2744547000,2522461000,"Palm Beach County","WEST PALM BEACH",33406,5869,"21-Suburb: Large",26.64925,-80.093741,1221,"1-Metropolitan Area",187943,11554.7
