"","state","name","id","ncesID","state.abb","enrollment_20","enrollment_21","enrollment_22","government_level"
"3339","NJ","East Orange Board of Education","35651","3404230","NJ",10094,9344,9179,"school district"
"3340","AZ","Glendale Union High School District No. 205","1027353","0403450","AZ",16401,16462,16695,"school district"
"3341","AZ","Amphitheater Unified School District No. 10","1027342","0400680","AZ",13410,11424,12396,"school district"
"3342","AZ","Buckeye Elementary School District No. 33","1027344","0401380","AZ",5560,5271,5723,"school district"
"3343","PA","Millcreek Township School District","228790","4215330","PA",6614,6353,6338,"school district"
"3344","PA","Manheim Township School District","228769","4214580","PA",5982,5865,5952,"school district"
"3345","PA","Peters Township School District","228832","4218960","PA",3979,3933,3939,"school district"
"3346","GA","Early County Board of Education","197170","1301920","GA",1945,1787,1709,"school district"
"3347","GA","Bleckley County Board of Education","197167","1300440","GA",2550,2545,2604,"school district"
"3348","IL","Anna CC School District 37","197183","1703750","IL",649,634,586,"school district"
"3349","GA","Telfair County Board of Education","197177","1304830","GA",1694,1627,1606,"school district"
"3350","OH","New Richmond Exempted Village School District","197150","3904555","OH",2111,1985,1998,"school district"
"3351","TX","Refugio Independent School District","39153","4836780","TX",704,682,689,"school district"
"3352","TX","San Augustine Independent School District","39163","4838760","TX",742,687,662,"school district"
"3353","TX","Rockdale Independent School District","39101","4837590","TX",1490,1453,1425,"school district"
"3354","TX","Austin Independent School District","39211","4808940","TX",80911,74871,74602,"school district"
"3355","TX","Vidor Independent School District","39131","4844160","TX",4391,4236,4265,"school district"
"3356","TX","Tuloso Midway Independent School District","39124","4843350","TX",3926,3846,3750,"school district"
"3357","UT","Sevier School District","39326","4900930","UT",4833,4684,4828,"school district"
"3358","TX","Livingston Independent School District","39141","4827780","TX",3981,3804,4023,"school district"
"3359","TX","Crowley Independent School District","39192","4815910","TX",15996,15731,16278,"school district"
"3360","TX","New Waverly Independent School District","39232","4832640","TX",1021,1038,996,"school district"
"3361","TX","Grand Saline Independent School District","39226","4821450","TX",1103,1115,1175,"school district"
"3362","TX","Kennedale Independent School District","39197","4825500","TX",2975,2885,2840,"school district"
"3363","TX","Groveton Independent School District","39217","4821900","TX",764,762,742,"school district"
"3364","TX","Fort Worth Independent School District","39194","4819700","TX",82891,76858,74850,"school district"
