"","state.abb","state.name","id","geo_id","year","name","total_liabilities","current_liabilities","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","total_assets","current_assets","compensated_absences","expenses","revenues","population","median_hh_income_21"
"87","NV","Nevada",35520,"3251800",2020,"north las vegas",756950708,36924302,218565388,0,43455396,0,2374684619,0,39763823,388962525,492604694,259520,67035
"88","NV","Nevada",35523,"3260600",2020,"reno",1064576354,41238414,249852734,0,168272737,0,1857669187,0,25389581,365774923,478643006,264147,67478
"89","VA","Virginia",230389,"5157000",2020,"norfolk",2126539198,190368768,319781825,0,75620871,0,2797625060,0,26136799,909352298,936078688,238001,58591
"90","VA","Virginia",230420,"5167000",2020,"richmond",2594525942,199271710,370679024,0,116933633,0,3549156723,0,24131176,1117347385,1190816721,226618,51770
"91","VA","Virginia",230476,"5182000",2020,"virginia beach",2174515595,103328094,417692180,0,103615930,0,5963034244,0,50506959,1546388767,1632118091,459471,81634
"92","WA","Washington",39553,"5363000",2020,"seattle",9163846000,643409000,1471420000,276045000,673085000,0,15849537000,0,143102000,4384767000,4581734000,737018,110781
"93","WA","Washington",39566,"5367000",2020,"spokane",886969987,41087427,0,61452699,0,97392855,3165077400,0,25615819,527607330,584541313,228978,58714
"94","WA","Washington",39559,"5370000",2020,"tacoma",2088340000,203686000,43808000,89125000,208422000,0,5236657000,0,44245000,1145003000,1229044000,219175,77141
"95","WI","Wisconsin",39884,"5548000",2020,"madison",1121052486,90341077,105508,57561292,82355761,0,2918901000,0,66861699,564493985,598064822,269769,67270
"96","WI","Wisconsin",39892,"5553000",2020,"milwaukee",4631245000,189324000,850751000,0,1690355000,0,3871974000,0,50710000,1584630000,1288626000,577225,46637
"97","TX","Texas",38708,"4827000",2021,"fort worth",6485913000,426042000,2359866000,0,903895000,0,9678101000,0,33390000,2043838000,2229707000,918937,68235
"98","TX","Texas",44101,"4829000",2021,"garland",1739221826,175637389,11418246,0,87457328,0,2843363991,0,29462323,710181427,788194393,246001,61607
"99","AL","Alabama",31569,"0137000",2021,"huntsville",1361325111,80907197,222331632,0,72487230,0,2284863782,0,31645956,466738158,597514829,215052,70757
"100","NY","New York",36037,"3663000",2021,"rochester",2359529000,290317000,55648000,0,1753793000,0,1622748000,0,0,857649000,813572000,211321,41980
"101","AZ","Arizona",31633,"0412000",2021,"chandler",1014689233,63516870,316219876,0,63003983,0,2437704676,0,15088278,543298997,568989293,276010,94613
"102","IL","Illinois",32795,"1714000",2021,"chicago",70203052000,5590602000,33696585000,0,2000017000,0,43688854000,0,0,11608977000,12909108000,2746352,66576
"103","AZ","Arizona",44287,"0427820",2021,"glendale",1440811000,111250000,429332000,0,613000,1916000,2327563000,0,35840000,488049000,601059000,248374,62910
"104","AZ","Arizona",31634,"0446000",2021,"mesa",4282895000,345738000,1014811000,0,953762000,0,4900409000,0,34949000,1171253000,1223499000,504300,69266
"105","AZ","Arizona",31636,"0455000",2021,"phoenix",14097669000,1042790000,4652055000,0,136443000,73892000,20352605000,0,176765000,4141988000,4961320000,1608190,68435
"106","AZ","Arizona",31637,"0465000",2021,"scottsdale",1719985000,106185000,421583000,0,1923000,0,7444813000,0,33927000,644992000,1088738000,241339,99097
"107","AZ","Arizona",31644,"0477000",2021,"tucson",3382060447,268899451,1291047640,0,212813304,0,5683894388,0,52396915,1142236719,1446490646,542656,50306
