"","state.abb","state.name","id","geo_id","year","name","category","total_liabilities","current_liabilities","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","total_assets","current_assets","compensated_absences","expenses","revenues","unrestricted","bonds_outstanding","loans_outstanding","notes_outstanding","population","urban_pop","pct_urban_pop","median_hh_income_21","url"
"46","PA","Pennsylvania",37704,"42017",2020,"bucks county","General Purpose",518377250,163326805,2702513,0,0,0,804128100,0,17114411,618696315,693968803,0,136802892,0,132000600,646526,579965,0.897031574323551,99755,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/PA/Bucks%20County/PA%20Bucks%20County%202020.pdf"
"47","IL","Illinois",32767,"17043",2020,"dupage county","General Purpose",476399747,113741366,165805602,0,13632860,0,1411753104,0,33095659,500477128,558287578,8934799,143440102,3407726,0,932877,931125,0.998121938905129,99536,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/IL/Dupage%20County/IL%20Dupage%20County%202020.pdf"
"48","IL","Illinois",1035781,"17031",2020,"cook county","General Purpose",21176754633,1385238463,13580982590,0,1900989370,0,4885774017,0,122331764,5655529321,6061200953,-15644347985,2823221430,570036750,7521000,5275522,5272651,0.999452188884514,72063,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/IL/Cook%20County/IL%20Cook%20County%202020.pdf"
"49","PA","Pennsylvania",164478,"42091",2020,"montgomery county","General Purpose",660085418,111189435,83324020,0,0,0,722345190,0,16333167,728547177,808381108,0,403854796,0,33650000,856559,827974,0.966634872564803,102648,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/PA/Montgomery%20County/PA%20Montgomery%20County%202020.pdf"
"50","IL","Illinois",1036299,"17097",2020,"lake county","General Purpose",412208585,89750647,47434620,0,18804476,0,1869159268,0,21525954,500239632,561961256,103243346,219659176,0,0,714351,704232,0.985847115247318,95895,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/IL/Lake%20County/IL%20Lake%20County%202020.pdf"
"51","IL","Illinois",32790,"17197",2020,"will county","General Purpose",635030409,64412446,130130559,0,43959176,0,1346030025,0,33266590,399942073,477328660,32651531,347022621,0,0,696362,662409,0.951251875839191,93994,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/IL/Will%20County/IL%20Will%20County%202020.pdf"
"52","MI","Michigan",34271,"26081",2020,"kent county","General Purpose",258942401,52041949,0,56763648,20274392,0,820400220,0,10260598,402892482,462703732,0,118742822,0,20300000,657984,551457,0.838113664065753,71933,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/MI/Kent%20County/MI%20Kent%20County%202020.pdf"
"53","MI","Michigan",34275,"26099",2020,"macomb county","General Purpose",588170168,180814373,0,84215482,110683716,0,2137456482,0,17171117,626031609,838603717,140763809,270690000,621991,0,881219,852930,0.967900074555983,67646,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/MI/Macomb%20County/MI%20Macomb%20County%202020.pdf"
"54","NY","New York",36016,"36119",2020,"westchester county","General Purpose",6973518018,585376212,498291015,0,4264402132,0,4281177842,0,56072618,2785455907,2636441581,0,1517014912,0,75573833,1004445,958924,0.954669040088326,109131,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/NY/Westchester%20County/NY%20Westchester%20County%202020.pdf"
"55","IN","Indiana",170616,"18097",2020,"marion county","General Purpose",873586220,23965076,114023647,0,15112759,0,865130230,0,9518978,346101589,348954336,102785585,0,0,1973352,977213,968609,0.991205512058395,58737,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/IN/Marion%20County/IN%20Marion%20County%202020.pdf"
