ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): All 50 + DC and outlying territories

Agency Name,State Name [District] Latest available year,State Abbr [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,Agency Type [District] 2020-21,Total Students All Grades (Excludes AE) [District] 2020-21,Full-Time Equivalent (FTE) Teachers [District] 2020-21,Total Revenue (TOTALREV) [District Finance] 2020-21,Total Revenue - Local Sources (TLOCREV) [District Finance] 2020-21,Total Revenue - State Sources (TSTREV) [District Finance] 2020-21,Total Revenue - Federal Sources (TFEDREV) [District Finance] 2020-21,Total Expenditures (TOTALEXP) [District Finance] 2020-21
CONCORD ACADEMY - PETOSKEY,Michigan,MI ,2600074,7-Independent Charter District,149,14.15,1726000,49000,1591000,86000,1581000
CONCORD COMMUNITY SCHOOLS,Indiana,IN ,1802400,1-Regular local school district that is NOT a component of a supervisory union,5188,346.77,66839000,26026000,37201000,3612000,62285000
CONCORD COMMUNITY SCHOOLS,Michigan,MI ,2610650,1-Regular local school district that is NOT a component of a supervisory union,636,37.81,9416000,2217000,5962000,1237000,8981000
CONCORD LAKE STEAM ACADEMY,NORTH CAROLINA,NC ,3700399,7-Independent Charter District,359,28.00,4118000,880000,2951000,287000,3877000
CONCORD SAU OFFICE,New Hampshire,NH ,3399908,3-Supervisory union administrative center (or county superintendent's office serving the same purpose),†,†,†,†,†,†,†
CONCORD SCHOOL DISTRICT,New Hampshire,NH ,3302460,2-Local school district that is a component of a supervisory union,4093,319.20,93062000,59866000,25061000,8135000,85908000
CONCORD SCHOOL DISTRICT,Arkansas,AR ,0504560,1-Regular local school district that is NOT a component of a supervisory union,409,46.37,6241000,2304000,2510000,1427000,6557000
CONCORD-CARLISLE,Massachusetts,MA ,2503870,1-Regular local school district that is NOT a component of a supervisory union,1316,100.40,42254000,32804000,8598000,852000,37989000
CONCORDIA,Kansas,KS ,2005100,1-Regular local school district that is NOT a component of a supervisory union,1094,94.60,21681000,7490000,12047000,2144000,20214000
CONCORDIA CHARTER SCHOOL INC. (89556),Arizona,AZ ,0400751,7-Independent Charter District,117,–,1683000,232000,1061000,390000,1944000
CONCORDIA PARISH,Louisiana,LA ,2200480,1-Regular local school district that is NOT a component of a supervisory union,3261,217.00,48143000,14446000,23083000,10614000,47444000
CONCORDIA R-II,Missouri,MO ,2910080,1-Regular local school district that is NOT a component of a supervisory union,459,43.00,5916000,3743000,1323000,850000,5906000
CONCRETE SCHOOL DISTRICT,Washington,WA ,5301660,1-Regular local school district that is NOT a component of a supervisory union,506,32.43,10461000,1478000,7899000,1084000,9879000
CONDON SD 25J,Oregon,OR ,4103330,1-Regular local school district that is NOT a component of a supervisory union,134,10.25,3879000,1666000,2000000,213000,4273000
CONECUH COUNTY,Alabama,AL ,0100870,1-Regular local school district that is NOT a component of a supervisory union,1659,82.82,21041000,3649000,13773000,3619000,21436000
CONEHATTA ELEMENTARY SCHOOL,Bureau of Indian Education,BI ,5900111,1-Regular local school district that is NOT a component of a supervisory union,213,26.00,†,†,†,†,†
CONEJO VALLEY UNIFIED,California,CA ,0609640,1-Regular local school district that is NOT a component of a supervisory union,17397,798.26,233394000,142933000,71317000,19144000,239588000
CONEMAUGH TOWNSHIP AREA SD,Pennsylvania,PA ,4206420,1-Regular local school district that is NOT a component of a supervisory union,873,69.40,15996000,4422000,10335000,1239000,15119000
CONEMAUGH VALLEY SD,Pennsylvania,PA ,4206430,1-Regular local school district that is NOT a component of a supervisory union,688,63.00,14109000,3345000,9344000,1420000,13552000
CONESTOGA PUBLIC SCHOOLS,Nebraska,NE ,3174200,1-Regular local school district that is NOT a component of a supervisory union,684,57.88,11087000,9063000,1498000,526000,10036000
CONESTOGA VALLEY SD,Pennsylvania,PA ,4206480,1-Regular local school district that is NOT a component of a supervisory union,4013,291.31,76836000,56739000,15237000,4860000,96778000
CONEWAGO VALLEY SD,Pennsylvania,PA ,4206550,1-Regular local school district that is NOT a component of a supervisory union,3552,242.05,66210000,41270000,21462000,3478000,64816000
CONEY ISLAND PREPARATORY PUBLIC CHARTER SCHOOL,New York,NY ,3601004,7-Independent Charter District,1030,57.00,0,0,0,0,21107000
CONFLUENCE ACADEMIES,Missouri,MO ,2900579,7-Independent Charter District,2572,227.50,46761000,3881000,33136000,9744000,41350000
CONGRESS ELEMENTARY DISTRICT (4479),Arizona,AZ ,0402220,1-Regular local school district that is NOT a component of a supervisory union,79,9.50,2005000,1245000,478000,282000,2054000
CONNALLY ISD,Texas,TX ,4814970,1-Regular local school district that is NOT a component of a supervisory union,2342,186.09,31445000,10980000,16224000,4241000,28205000
CONNEAUT AREA CITY,Ohio,OH ,3904381,1-Regular local school district that is NOT a component of a supervisory union,1538,88.68,22573000,7042000,12521000,3010000,20025000
CONNEAUT SD,Pennsylvania,PA ,4206590,1-Regular local school district that is NOT a component of a supervisory union,1840,136.00,42065000,17110000,21259000,3696000,40290000
CONNECT COMMUNITY CHARTER DISTRICT,CALIFORNIA,CA ,0602357,7-Independent Charter District,163,9.10,2931000,2175000,412000,344000,2433000
CONNECTICUT TECHNICAL EDUCATION AND CAREER SYSTEM,Connecticut,CT ,0900002,5-State agency providing elementary and/or secondary level instruction,11331,1011.82,†,†,†,†,†
CONNECTING WATERS CHARTER - EAST BAY DISTRICT,CALIFORNIA,CA ,0602159,7-Independent Charter District,534,39.76,4374000,346000,3950000,78000,3937000
CONNECTING WATERS CHARTER DISTRICT,CALIFORNIA,CA ,0602170,7-Independent Charter District,1068,77.08,15126000,2393000,12607000,126000,12351000
CONNECTING WATERS CHARTER SCHOOL - CENTRAL VALLEY DISTRICT,CALIFORNIA,CA ,0602406,7-Independent Charter District,648,43.02,4781000,825000,3850000,106000,4209000
CONNELLSVILLE AREA CAREER & TECHNICAL CENTER,Pennsylvania,PA ,4280220,9-Specialized public school district,515,22.20,4065000,2595000,1277000,193000,4054000
CONNELLSVILLE AREA SD,Pennsylvania,PA ,4206660,1-Regular local school district that is NOT a component of a supervisory union,3919,263.52,79195000,21177000,50903000,7115000,73623000
CONNETQUOT CENTRAL SCHOOL DISTRICT,New York,NY ,3608160,1-Regular local school district that is NOT a component of a supervisory union,5370,551.60,196185000,126746000,66283000,3156000,195975000
CONOTTON VALLEY UNION LOCAL,Ohio,OH ,3904754,1-Regular local school district that is NOT a component of a supervisory union,472,33.25,13995000,10590000,2754000,651000,22114000
CONRAD ELEM,Montana,MT ,3007330,1-Regular local school district that is NOT a component of a supervisory union,328,23.23,4843000,1652000,1892000,1299000,4345000
CONRAD H S,Montana,MT ,3007320,1-Regular local school district that is NOT a component of a supervisory union,143,13.47,2689000,1603000,1020000,66000,2211000
CONRAD WEISER AREA SD,Pennsylvania,PA ,4206780,1-Regular local school district that is NOT a component of a supervisory union,2499,203.75,56265000,34847000,16898000,4520000,61324000
CONROE ISD,Texas,TX ,4815000,1-Regular local school district that is NOT a component of a supervisory union,64563,4110.60,769389000,496919000,183760000,88710000,825633000
CONS HSD 230,Illinois,IL ,1708400,1-Regular local school district that is NOT a component of a supervisory union,7565,–,202673000,123990000,73280000,5403000,202623000
CONSERVATORY LAB CHARTER (DISTRICT),Massachusetts,MA ,2500060,7-Independent Charter District,457,29.00,12720000,10850000,774000,1096000,8839000
CONSERVATORY OF VOCAL/INSTRUMENTAL ARTS HIGH DISTRICT,CALIFORNIA,CA ,0601819,7-Independent Charter District,55,4.00,1208000,256000,668000,284000,1139000
CONSTANTINE PUBLIC SCHOOL DISTRICT,Michigan,MI ,2610750,1-Regular local school district that is NOT a component of a supervisory union,1398,75.35,19905000,4233000,12456000,3216000,15722000
CONSTELLATION SCHOOLS: EASTSIDE ARTS ACADEMY,Ohio,OH ,3901432,7-Independent Charter District,122,9.00,1437000,10000,1109000,318000,1668000
CONSTELLATION SCHOOLS: ELYRIA COMMUNITY,Ohio,OH ,3900103,7-Independent Charter District,393,22.60,4067000,40000,3478000,549000,4294000
CONSTELLATION SCHOOLS: LORAIN COMMUNITY ELEMENTARY,Ohio,OH ,3900102,7-Independent Charter District,149,10.08,2493000,184000,1844000,465000,2378000
CONSTELLATION SCHOOLS: LORAIN COMMUNITY MIDDLE,Ohio,OH ,3900507,7-Independent Charter District,130,8.82,1449000,13000,1249000,187000,1353000
CONSTELLATION SCHOOLS: MADISON COMMUNITY ELEMENTARY,Ohio,OH ,3900506,7-Independent Charter District,234,14.50,2684000,80000,2129000,475000,2796000
CONSTELLATION SCHOOLS: OLD BROOKLYN COMMUNITY ELEMENTARY,Ohio,OH ,3900019,7-Independent Charter District,309,16.00,3556000,314000,2813000,429000,3076000
CONSTELLATION SCHOOLS: OLD BROOKLYN COMMUNITY MIDDLE,Ohio,OH ,3900508,7-Independent Charter District,254,16.01,2376000,16000,2060000,300000,2475000
CONSTELLATION SCHOOLS: PARMA COMMUNITY,Ohio,OH ,3900068,7-Independent Charter District,1335,74.39,11761000,139000,10325000,1297000,11336000
CONSTELLATION SCHOOLS: PURITAS COMMUNITY ELEMENTARY,Ohio,OH ,3900211,7-Independent Charter District,168,10.30,2096000,255000,1518000,323000,2205000
CONSTELLATION SCHOOLS: PURITAS COMMUNITY MIDDLE,Ohio,OH ,3900291,7-Independent Charter District,153,9.70,1831000,10000,1509000,312000,1805000
CONSTELLATION SCHOOLS: STOCKYARD COMMUNITY ELEMENTARY,Ohio,OH ,3900212,7-Independent Charter District,184,10.76,2396000,200000,1737000,459000,2352000
CONSTELLATION SCHOOLS: STOCKYARD COMMUNITY MIDDLE,Ohio,OH ,3901403,7-Independent Charter District,61,4.80,948000,112000,687000,149000,846000
CONSTELLATION SCHOOLS: WESTPARK COMMUNITY ELEMENTARY,Ohio,OH ,3900105,7-Independent Charter District,276,16.00,3342000,301000,2488000,553000,3134000
CONSTELLATION SCHOOLS: WESTPARK COMMUNITY MIDDLE,Ohio,OH ,3900503,7-Independent Charter District,190,11.60,2119000,19000,1716000,384000,2237000
CONSTELLATION SCHOOLS: WESTSIDE COMMUNITY SCHOOL OF THE ARTS,Ohio,OH ,3901326,7-Independent Charter District,236,16.00,2704000,45000,2159000,500000,2943000
CONTINENTAL ELEMENTARY DISTRICT (4416),Arizona,AZ ,0402250,1-Regular local school district that is NOT a component of a supervisory union,620,36.00,9530000,6897000,2090000,543000,7746000
CONTINENTAL LOCAL,Ohio,OH ,3904932,1-Regular local school district that is NOT a component of a supervisory union,419,36.21,7906000,3188000,4139000,579000,7330000
CONTOOCOOK VALLEY SAU OFFICE,New Hampshire,NH ,3399947,3-Supervisory union administrative center (or county superintendent's office serving the same purpose),†,†,†,†,†,†,†
CONTOOCOOK VALLEY SCHOOL DISTRICT,New Hampshire,NH ,3302480,2-Local school district that is a component of a supervisory union,2025,213.20,52786000,35800000,12971000,4015000,48399000
CONTRA COSTA COUNTY OFFICE OF EDUCATION,California,CA ,0691005,1-Regular local school district that is NOT a component of a supervisory union,374,44.00,101944000,61340000,32303000,8301000,69632000
CONTRA COSTA COUNTY ROP,California,CA ,0600092,9-Specialized public school district,0,–,47267000,22000,32142000,15103000,46723000
CONTRA COSTA SCHOOL OF PERFORMING ARTS DISTRICT,CALIFORNIA,CA ,0602336,7-Independent Charter District,460,21.10,5548000,3216000,2060000,272000,4834000
CONTRA COSTA SELPA,California,CA ,0601349,4-Regional Education Service Agency (RESA),†,†,†,†,†,†,†
CONVERSE COUNTY SCHOOL DISTRICT #1,Wyoming,WY ,5602140,1-Regular local school district that is NOT a component of a supervisory union,1643,150.02,40150000,30499000,6198000,3453000,37242000
CONVERSE COUNTY SCHOOL DISTRICT #2,Wyoming,WY ,5602150,1-Regular local school district that is NOT a component of a supervisory union,668,55.70,12947000,10165000,842000,1940000,13067000
CONWAY,Massachusetts,MA ,2503900,1-Regular local school district that is NOT a component of a supervisory union,125,13.67,2082000,782000,1079000,221000,3671000
CONWAY SAU OFFICE,New Hampshire,NH ,3399909,3-Supervisory union administrative center (or county superintendent's office serving the same purpose),†,†,†,†,†,†,†
CONWAY SCHOOL DISTRICT,New Hampshire,NH ,3302490,2-Local school district that is a component of a supervisory union,1600,152.00,37902000,26793000,7829000,3280000,34294000
CONWAY SCHOOL DISTRICT,Washington,WA ,5301680,1-Regular local school district that is NOT a component of a supervisory union,468,25.02,7515000,1843000,5248000,424000,6740000
CONWAY SCHOOL DISTRICT,Arkansas,AR ,0504590,1-Regular local school district that is NOT a component of a supervisory union,10035,624.17,120326000,50120000,52931000,17275000,116374000
CONWAY SPRINGS,Kansas,KS ,2005130,1-Regular local school district that is NOT a component of a supervisory union,422,34.40,6430000,1002000,4821000,607000,10845000
COOK COUNTY,Georgia,GA ,1301470,1-Regular local school district that is NOT a component of a supervisory union,3129,219.10,40376000,11408000,22876000,6092000,37327000
COOK COUNTY PUBLIC SCHOOLS,Minnesota,MN ,2713110,1-Regular local school district that is NOT a component of a supervisory union,397,43.54,9834000,3004000,5375000,1455000,8548000
COOK COUNTY SD 130,Illinois,IL ,1706510,1-Regular local school district that is NOT a component of a supervisory union,3233,–,63468000,31324000,27602000,4542000,56925000
COOKE CITY ELEM,Montana,MT ,3007350,1-Regular local school district that is NOT a component of a supervisory union,5,1.00,127000,54000,43000,30000,133000
COOLIDGE ISD,Texas,TX ,4815120,1-Regular local school district that is NOT a component of a supervisory union,309,29.37,5813000,877000,3947000,989000,4159000
COOLIDGE UNIFIED DISTRICT (4442),Arizona,AZ ,0402320,1-Regular local school district that is NOT a component of a supervisory union,2110,111.01,24064000,9160000,8924000,5980000,25526000
COON RAPIDS-BAYARD COMM SCHOOL DISTRICT,Iowa,IA ,1908070,1-Regular local school district that is NOT a component of a supervisory union,431,40.74,7239000,3086000,3355000,798000,6240000
COOP ASSOC FOR SPEC EDUC,Illinois,IL ,1701396,9-Specialized public school district,†,†,25650000,18566000,6789000,295000,29806000
COOPER CO. R-IV,Missouri,MO ,2906150,1-Regular local school district that is NOT a component of a supervisory union,113,16.95,2131000,736000,1067000,328000,2141000
COOPER ISD,Texas,TX ,4815150,1-Regular local school district that is NOT a component of a supervisory union,806,66.08,12783000,3487000,7756000,1540000,9951000
COOPER PUBLIC SCHOOLS,Maine,ME ,2304440,1-Regular local school district that is NOT a component of a supervisory union,5,0.00,249000,227000,21000,1000,248000
COOPERATIVE CENTERS FOR EXCEPTIONAL CHILDREN,Virginia,VA ,5100014,9-Specialized public school district,0,†,–,–,–,–,–
COOPERATIVE ED SERV AGCY 01,Wisconsin,WI ,5500022,4-Regional Education Service Agency (RESA),0,3.09,†,†,†,†,†
COOPERATIVE ED SERV AGCY 02,Wisconsin,WI ,5500023,4-Regional Education Service Agency (RESA),0,13.80,†,†,†,†,†
COOPERATIVE ED SERV AGCY 03,Wisconsin,WI ,5500024,4-Regional Education Service Agency (RESA),0,5.71,†,†,†,†,†
COOPERATIVE ED SERV AGCY 04,Wisconsin,WI ,5500025,4-Regional Education Service Agency (RESA),0,0.00,†,†,†,†,†
COOPERATIVE ED SERV AGCY 05,Wisconsin,WI ,5500026,4-Regional Education Service Agency (RESA),0,1.00,†,†,†,†,†
COOPERATIVE ED SERV AGCY 06,Wisconsin,WI ,5500027,4-Regional Education Service Agency (RESA),0,0.00,†,†,†,†,†
COOPERATIVE ED SERV AGCY 07,Wisconsin,WI ,5500028,4-Regional Education Service Agency (RESA),0,0.26,†,†,†,†,†
COOPERATIVE ED SERV AGCY 08,Wisconsin,WI ,5500029,4-Regional Education Service Agency (RESA),0,1.26,†,†,†,†,†
COOPERATIVE ED SERV AGCY 09,Wisconsin,WI ,5500031,4-Regional Education Service Agency (RESA),0,9.70,†,†,†,†,†
COOPERATIVE ED SERV AGCY 10,Wisconsin,WI ,5500032,4-Regional Education Service Agency (RESA),0,2.00,†,†,†,†,†
COOPERATIVE ED SERV AGCY 11,Wisconsin,WI ,5500033,4-Regional Education Service Agency (RESA),0,9.03,†,†,†,†,†
COOPERATIVE ED SERV AGCY 12,Wisconsin,WI ,5500034,4-Regional Education Service Agency (RESA),0,0.07,†,†,†,†,†
COOPERATIVE EDUCATIONAL SERVICES,Connecticut,CT ,0900910,9-Specialized public school district,789,112.00,40732000,34088000,6342000,302000,34031000
COOPERSTOWN CENTRAL SCHOOL DISTRICT,New York,NY ,3608250,1-Regular local school district that is NOT a component of a supervisory union,795,57.49,20403000,12722000,6791000,890000,18442000
COOPERSVILLE AREA PUBLIC SCHOOL DISTRICT,Michigan,MI ,2610830,1-Regular local school district that is NOT a component of a supervisory union,2595,144.31,50748000,11069000,36810000,2869000,35127000
COOS BAY SD 9,Oregon,OR ,4103660,1-Regular local school district that is NOT a component of a supervisory union,3022,167.83,50013000,16429000,29337000,4247000,74045000
COOS COUNTY,New Hampshire,NH ,3300034,3-Supervisory union administrative center (or county superintendent's office serving the same purpose),†,†,†,†,†,†,†
COOS COUNTY SCHOOL DISTRICT,New Hampshire,NH ,3302510,2-Local school district that is a component of a supervisory union,†,†,38000,0,38000,0,5000
COOSA COUNTY,Alabama,AL ,0100900,1-Regular local school district that is NOT a component of a supervisory union,777,45.51,11852000,3782000,6075000,1995000,10548000
COOTER R-IV,Missouri,MO ,2910140,1-Regular local school district that is NOT a component of a supervisory union,193,16.93,2588000,970000,1271000,347000,2350000
COPAN,Oklahoma,OK ,4008610,1-Regular local school district that is NOT a component of a supervisory union,201,14.09,2397000,1283000,798000,316000,2761000
COPELAND,Kansas,KS ,2005190,1-Regular local school district that is NOT a component of a supervisory union,109,15.00,2658000,1095000,1381000,182000,2350000
COPENHAGEN CENTRAL SCHOOL DISTRICT,New York,NY ,3608280,1-Regular local school district that is NOT a component of a supervisory union,469,46.91,12730000,3224000,8490000,1016000,15133000
COPIAGUE UNION FREE SCHOOL DISTRICT,New York,NY ,3608310,1-Regular local school district that is NOT a component of a supervisory union,4987,289.24,137146000,61829000,67550000,7767000,129116000
COPIAH CO SCHOOL DIST,Mississippi,MS ,2801220,1-Regular local school district that is NOT a component of a supervisory union,2275,146.81,25788000,5484000,13419000,6885000,23191000
COPLEY-FAIRLAWN CITY,Ohio,OH ,3904998,1-Regular local school district that is NOT a component of a supervisory union,2680,180.24,45198000,36475000,5782000,2941000,41863000
COPLIN PLT PUBLIC SCHOOLS,Maine,ME ,2304500,1-Regular local school district that is NOT a component of a supervisory union,4,0.00,418000,403000,15000,0,301000
COPPELL ISD,Texas,TX ,4815210,1-Regular local school district that is NOT a component of a supervisory union,13052,859.83,167767000,145398000,15769000,6600000,190096000
COPPER COUNTRY ISD,Michigan,MI ,2680505,9-Specialized public school district,177,27.33,40490000,8306000,5468000,26716000,39343000
COPPER ISLAND ACADEMY,MICHIGAN,MI ,2601137,7-Independent Charter District,†,†,†,†,†,†,†
COPPER RIVER SCHOOL DISTRICT,Alaska,AK ,0200070,1-Regular local school district that is NOT a component of a supervisory union,401,27.70,8971000,96000,7514000,1361000,9500000
COPPER STATE ACADEMY (1001671),ARIZONA,AZ ,0401014,7-Independent Charter District,†,†,†,†,†,†,†
COPPERAS COVE ISD,Texas,TX ,4815240,1-Regular local school district that is NOT a component of a supervisory union,8052,564.09,99473000,18422000,63981000,17070000,90488000
COQUILLE SD 8,Oregon,OR ,4103390,1-Regular local school district that is NOT a component of a supervisory union,1323,68.34,18997000,3159000,13653000,2185000,17217000
CORBETT SD 39,Oregon,OR ,4103420,7-Independent Charter District,1084,52.97,14069000,2330000,11166000,573000,14357000
CORBIN CITY SCHOOL DISTRICT,New Jersey,NJ ,3403510,8-Other education agencies,†,†,1165000,522000,639000,4000,1182000
CORBIN INDEPENDENT,Kentucky,KY ,2101320,1-Regular local school district that is NOT a component of a supervisory union,2875,177.00,40114000,6437000,28048000,5629000,35781000
CORCORAN JOINT UNIFIED,California,CA ,0609690,1-Regular local school district that is NOT a component of a supervisory union,3257,151.00,61272000,5048000,47615000,8609000,53427000
CORDELL,Oklahoma,OK ,4008640,1-Regular local school district that is NOT a component of a supervisory union,625,49.95,8288000,3269000,4042000,977000,7488000
CORDOVA CITY SCHOOL DISTRICT,Alaska,AK ,0200060,1-Regular local school district that is NOT a component of a supervisory union,292,24.88,9078000,1898000,5494000,1686000,8144000
CORE BUTTE CHARTER DISTRICT,CALIFORNIA,CA ,0601843,7-Independent Charter District,895,48.64,12194000,344000,9810000,2040000,9684000
CORE CHARTER DISTRICT,CALIFORNIA,CA ,0601734,7-Independent Charter District,522,21.58,6412000,562000,5625000,225000,4590000
CORE EDUCATIONAL COOPERATIVE,SOUTH DAKOTA,SD ,4680446,4-Regional Education Service Agency (RESA),0,0.00,†,†,†,†,†
CORINTH CENTRAL SCHOOL DISTRICT,New York,NY ,3608370,1-Regular local school district that is NOT a component of a supervisory union,1083,89.00,24424000,9146000,14265000,1013000,22692000
CORINTH SCHOOL DIST,Mississippi,MS ,2801260,1-Regular local school district that is NOT a component of a supervisory union,2522,155.11,27624000,6520000,14168000,6936000,26599000
CORNBELT EDUCATIONAL COOPERATIVE,South Dakota,SD ,4616150,4-Regional Education Service Agency (RESA),†,0.00,†,†,†,†,†
CORNELL CCSD 426,Illinois,IL ,1710860,1-Regular local school district that is NOT a component of a supervisory union,97,–,1723000,1137000,401000,185000,1688000
CORNELL SCHOOL DISTRICT,Wisconsin,WI ,5502880,1-Regular local school district that is NOT a component of a supervisory union,376,27.09,7096000,1774000,4008000,1314000,6482000
CORNELL SD,Pennsylvania,PA ,4206810,1-Regular local school district that is NOT a component of a supervisory union,548,55.00,15701000,9871000,4369000,1461000,15260000
CORNERSTONE ACADEMY COMMUNITY SCHOOL,Ohio,OH ,3900081,7-Independent Charter District,922,50.00,9144000,98000,7794000,1252000,8591000
CORNERSTONE CHARTER ACADEMY,North Carolina,NC ,3700328,7-Independent Charter District,1295,73.00,12659000,4185000,8246000,228000,10721000
CORNERSTONE CHARTER SCHOOLINC (79077),Arizona,AZ ,0400405,7-Independent Charter District,204,–,2132000,77000,1877000,178000,2075000
CORNERSTONE HEALTH AND TECHNOLOGY SCHOOL,Michigan,MI ,2601030,7-Independent Charter District,414,22.75,–,–,–,–,–
CORNERSTONE JEFFERSON-DOUGLASS ACADEMY,MICHIGAN,MI ,2601101,7-Independent Charter District,591,12.00,6814000,54000,5953000,807000,6600000
CORNERSTONE MONTESSORI ELEMENTARY,Minnesota,MN ,2700368,7-Independent Charter District,135,9.62,2411000,77000,2096000,238000,2551000
CORNING CITY SCHOOL DISTRICT,New York,NY ,3608400,1-Regular local school district that is NOT a component of a supervisory union,4305,371.87,121453000,57330000,58897000,5226000,123334000
CORNING COMM SCHOOL DISTRICT,Iowa,IA ,1908130,1-Regular local school district that is NOT a component of a supervisory union,420,38.28,9844000,5559000,3249000,1036000,7831000
CORNING SCHOOL DISTRICT,Arkansas,AR ,0500009,1-Regular local school district that is NOT a component of a supervisory union,849,82.10,10347000,3873000,4606000,1868000,8987000
CORNING UNION ELEMENTARY,California,CA ,0609780,1-Regular local school district that is NOT a component of a supervisory union,1986,86.71,32856000,5148000,22631000,5077000,28283000
CORNING UNION HIGH,California,CA ,0609810,1-Regular local school district that is NOT a component of a supervisory union,1093,57.34,21275000,4932000,12186000,4157000,20378000
CORNISH SAU OFFICE,NEW HAMPSHIRE,NH ,3303311,3-Supervisory union administrative center (or county superintendent's office serving the same purpose),†,†,†,†,†,†,†
CORNISH SCHOOL DISTRICT,New Hampshire,NH ,3302520,2-Local school district that is a component of a supervisory union,115,11.80,3833000,2663000,1023000,147000,3835000
CORNWALL CENTRAL SCHOOL DISTRICT,New York,NY ,3608430,1-Regular local school district that is NOT a component of a supervisory union,3039,238.09,74798000,49055000,24130000,1613000,71218000
CORNWALL SCHOOL DISTRICT,Connecticut,CT ,0900930,1-Regular local school district that is NOT a component of a supervisory union,104,14.20,3505000,2989000,470000,46000,3495000
CORNWALL-LEBANON SD,Pennsylvania,PA ,4206840,1-Regular local school district that is NOT a component of a supervisory union,4854,317.00,89914000,57221000,25298000,7395000,78362000
CORONA MUNICIPAL SCHOOLS,New Mexico,NM ,3500630,1-Regular local school district that is NOT a component of a supervisory union,63,12.64,2800000,436000,2240000,124000,2620000
CORONA-NORCO UNIFIED,California,CA ,0609850,1-Regular local school district that is NOT a component of a supervisory union,51318,2062.96,759981000,204821000,469786000,85374000,697555000
CORONADO UNIFIED,California,CA ,0609870,1-Regular local school district that is NOT a component of a supervisory union,2608,135.59,49594000,26151000,17288000,6155000,46092000
CORPUS CHRISTI ISD,Texas,TX ,4815270,1-Regular local school district that is NOT a component of a supervisory union,34511,2232.46,426234000,218170000,139985000,68079000,472145000
CORPUS CHRISTI MONTESSORI SCHOOL,Texas,TX ,4800279,7-Independent Charter District,116,7.63,1390000,59000,1294000,37000,1153000
CORRECTIONAL FACILITIES,South Dakota,SD ,4680443,5-State agency providing elementary and/or secondary level instruction,†,†,†,†,†,†,†
CORRECTIONAL SCHOOL DISTRICT,NEVADA,NV ,3200023,8-Other education agencies,38,–,–,–,–,–,–
CORRECTIONS - DOE,Delaware,DE ,1000021,5-State agency providing elementary and/or secondary level instruction,0,0.00,†,†,†,†,†
CORRIGAN-CAMDEN ISD,Texas,TX ,4815300,1-Regular local school district that is NOT a component of a supervisory union,789,65.94,13444000,5782000,5408000,2254000,12285000
CORRY AREA SD,Pennsylvania,PA ,4206860,1-Regular local school district that is NOT a component of a supervisory union,1860,179.10,36853000,9408000,23184000,4261000,35275000
CORSICA-STICKNEY 21-3,SOUTH DAKOTA,SD ,4680445,1-Regular local school district that is NOT a component of a supervisory union,288,23.30,4381000,2902000,918000,561000,3635000
CORSICANA ISD,Texas,TX ,4815330,1-Regular local school district that is NOT a component of a supervisory union,6059,416.10,76368000,28215000,36887000,11266000,67844000
CORTEZ PARK CHARTER MIDDLE SCHOOL INC. (79988),Arizona,AZ ,0400376,7-Independent Charter District,238,†,2481000,1000,1785000,695000,2087000
CORTLAND CITY SCHOOL DISTRICT,New York,NY ,3608460,1-Regular local school district that is NOT a component of a supervisory union,2093,196.00,53864000,16999000,32586000,4279000,50437000
CORUNNA PUBLIC SCHOOLS,Michigan,MI ,2610860,1-Regular local school district that is NOT a component of a supervisory union,1644,98.14,22990000,4813000,15380000,2797000,21521000
CORVALLIS K-12 SCHOOLS,Montana,MT ,3007410,1-Regular local school district that is NOT a component of a supervisory union,1264,99.00,15547000,4765000,8311000,2471000,15275000
CORVALLIS SD 509J,Oregon,OR ,4103480,1-Regular local school district that is NOT a component of a supervisory union,6462,345.26,113785000,58154000,48566000,7065000,184685000
CORVIAN COMMUNITY SCHOOL,North Carolina,NC ,3700327,7-Independent Charter District,1215,73.46,13417000,5654000,7564000,199000,11897000
CORY-RAWSON LOCAL,Ohio,OH ,3904743,1-Regular local school district that is NOT a component of a supervisory union,505,45.54,10299000,5931000,3751000,617000,9154000
COSHOCTON CITY,Ohio,OH ,3904382,1-Regular local school district that is NOT a component of a supervisory union,1542,95.25,24279000,7975000,13522000,2782000,23390000
COSHOCTON COUNTY,Ohio,OH ,3906522,4-Regional Education Service Agency (RESA),0,39.25,4466000,1989000,2147000,330000,4195000
COSHOCTON OPPORTUNITY SCHOOL,Ohio,OH ,3900331,7-Independent Charter District,29,4.00,464000,41000,367000,56000,435000
COSMOPOLIS SCHOOL DISTRICT,Washington,WA ,5301710,1-Regular local school district that is NOT a component of a supervisory union,174,11.86,3304000,884000,2085000,335000,3241000
COSSATOT COMMUNITY COLLEGE OF THE UA,ARKANSAS,AR ,0500438,8-Other education agencies,0,0.00,–,–,–,–,–
COSSATOT RIVER SCHOOL DISTRICT,Arkansas,AR ,0500405,1-Regular local school district that is NOT a component of a supervisory union,906,133.00,13644000,3310000,7377000,2957000,15206000
COTATI-ROHNERT PARK UNIFIED,California,CA ,0609940,1-Regular local school district that is NOT a component of a supervisory union,5717,250.33,90236000,50705000,32493000,7038000,92106000
