ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): All 50 + DC and outlying territories

Agency Name,State Name [District] Latest available year,State Abbr [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,Agency Type [District] 2022-23,Total Students All Grades (Excludes AE) [District] 2022-23,Full-Time Equivalent (FTE) Teachers [District] 2022-23
ACHIEVEMENT FIRST BROWNSVILLE CHARTER SCHOOL,New York,NY ,3600969,7-Independent Charter District,1057,79.50
ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL,New York,NY ,3600147,7-Independent Charter District,1339,100.51
ACHIEVEMENT FIRST EAST NEW YORK CHARTER SCHOOL,New York,NY ,3600149,7-Independent Charter District,1144,90.50
ACHIEVEMENT FIRST ENDEAVOR CHARTER SCHOOL,New York,NY ,3600170,7-Independent Charter District,738,58.00
ACHIEVEMENT FIRST HARTFORD ACADEMY DISTRICT,Connecticut,CT ,0900212,7-Independent Charter District,1041,86.25
ACHIEVEMENT FIRST LEGACY CHARTER SCHOOL,NEW YORK,NY ,3601230,7-Independent Charter District,153,15.00
ACHIEVEMENT FIRST LINDEN CHARTER SCHOOL,NEW YORK,NY ,3601112,7-Independent Charter District,756,51.00
ACHIEVEMENT FIRST NORTH BROOKLYN PREPARATORY CHARTER SCHOOL,NEW YORK,NY ,3601124,7-Independent Charter District,851,63.00
ACHIEVEMENT FIRST RHODE ISLAND,Rhode Island,RI ,4400021,7-Independent Charter District,2527,178.00
ACHIEVEMENT FIRST VOYAGER CHARTER SCHOOL,NEW YORK,NY ,3601143,7-Independent Charter District,156,14.00
ACHIEVEMENT FIRST-BUSHWICK CHARTER SCHOOL,New York,NY ,3600166,7-Independent Charter District,938,94.00
ACHIEVEMENT HOUSE CS,Pennsylvania,PA ,4200128,7-Independent Charter District,958,64.15
ACHIEVEMENT PREPARATORY ACADEMY PCS,District of Columbia,DC ,1100072,7-Independent Charter District,228,15.40
ACHIEVEMENT SCHOOL DISTRICT,Tennessee,TN ,4700147,9-Specialized public school district,5966,285.41
ACHIEVEPOINT CAREER ACADEMY - CINCINNATI,OHIO,OH ,3901602,7-Independent Charter District,210,9.00
ACHIEVERS EARLY COLLEGE PREP CHARTER SCHOOL,NEW JERSEY,NJ ,3400794,7-Independent Charter District,353,20.00
ACHILLE,Oklahoma,OK ,4002370,1-Regular local school district that is NOT a component of a supervisory union,309,21.30
ACKERMAN CHARTER,California,CA ,0601680,7-Independent Charter District,596,28.36
ACORN MONTESSORI CHARTER SCHOOL (79437),Arizona,AZ ,0400320,7-Independent Charter District,518,–
ACTON PUBLIC SCHOOLS,Maine,ME ,2302220,1-Regular local school district that is NOT a component of a supervisory union,246,22.00
ACTON-AGUA DULCE UNIFIED,California,CA ,0600001,1-Regular local school district that is NOT a component of a supervisory union,1002,43.32
ACTON-BOXBOROUGH,Massachusetts,MA ,2501710,1-Regular local school district that is NOT a component of a supervisory union,5197,395.35
ACUSHNET,Massachusetts,MA ,2501740,1-Regular local school district that is NOT a component of a supervisory union,973,76.00
AD PRIMA CS,Pennsylvania,PA ,4200129,7-Independent Charter District,582,43.00
ADA,Oklahoma,OK ,4002430,1-Regular local school district that is NOT a component of a supervisory union,2657,193.49
ADA EXEMPTED VILLAGE,Ohio,OH ,3904518,1-Regular local school district that is NOT a component of a supervisory union,856,‡
ADA-BORUP-WEST PUBLIC SCHOOLS,MINNESOTA,MN ,2700480,1-Regular local school district that is NOT a component of a supervisory union,685,47.10
ADAIR,Oklahoma,OK ,4002460,1-Regular local school district that is NOT a component of a supervisory union,1041,67.29
ADAIR CO. R-I,Missouri,MO ,2922980,1-Regular local school district that is NOT a component of a supervisory union,232,25.00
ADAIR CO. R-II,Missouri,MO ,2905790,1-Regular local school district that is NOT a component of a supervisory union,140,23.57
ADAIR COUNTY,Kentucky,KY ,2100030,1-Regular local school district that is NOT a component of a supervisory union,2622,182.00
ADAIR-CASEY COMM SCHOOL DISTRICT,Iowa,IA ,1903090,1-Regular local school district that is NOT a component of a supervisory union,271,23.89
ADAM/BRWN/CASS/MORGN/PIK/SCTT ROE,Illinois,IL ,1700162,8-Other education agencies,0,16.90
ADAMS 1 MAPLETON AU,Colorado,CO ,0800258,4-Regional Education Service Agency (RESA),†,†
ADAMS 12 FIVE STAR SCHOOLS,Colorado,CO ,0806900,1-Regular local school district that is NOT a component of a supervisory union,35747,2015.91
ADAMS 12 NORTHGLENN AU,Colorado,CO ,0800268,4-Regional Education Service Agency (RESA),†,†
ADAMS 14 COMMERCE CITY AU,Colorado,CO ,0800272,4-Regional Education Service Agency (RESA),†,†
ADAMS 27J SCHOOL DISTRICT 27J AU,Colorado,CO ,0800237,4-Regional Education Service Agency (RESA),†,†
ADAMS CENTRAL COMMUNITY SCHOOLS,Indiana,IN ,1800060,1-Regular local school district that is NOT a component of a supervisory union,1340,95.00
ADAMS CENTRAL PUBLIC SCHOOLS,Nebraska,NE ,3102770,1-Regular local school district that is NOT a component of a supervisory union,1004,75.20
ADAMS COUNTY BOCES,Colorado,CO ,0800009,4-Regional Education Service Agency (RESA),†,0.00
ADAMS COUNTY OHIO VALLEY LOCAL,Ohio,OH ,3906190,1-Regular local school district that is NOT a component of a supervisory union,3546,214.50
ADAMS COUNTY TECHNICAL INSTITUTE,PENNSYLVANIA,PA ,4200905,9-Specialized public school district,5,7.00
ADAMS TOWNSHIP SCHOOL DISTRICT,Michigan,MI ,2601890,1-Regular local school district that is NOT a component of a supervisory union,466,33.60
ADAMS-ARAP 28J AURORA AU,Colorado,CO ,0800255,4-Regional Education Service Agency (RESA),†,†
ADAMS-FRIENDSHIP AREA SCHOOL DISTRICT,Wisconsin,WI ,5500060,1-Regular local school district that is NOT a component of a supervisory union,1315,116.60
ADDISON CENTRAL SCHOOL DISTRICT,New York,NY ,3602370,1-Regular local school district that is NOT a component of a supervisory union,1085,93.80
ADDISON CENTRAL SUPERVISORY DISTRICT,Vermont,VT ,5099903,3-Supervisory union administrative center (or county superintendent's office serving the same purpose),†,32.40
ADDISON CENTRAL UNIFIED UNION SCHOOL DISTRICT #55,VERMONT,VT ,5000402,2-Local school district that is a component of a supervisory union,1770,145.70
ADDISON COMMUNITY SCHOOLS,Michigan,MI ,2601920,1-Regular local school district that is NOT a component of a supervisory union,717,43.12
ADDISON NORTHWEST SUPERVISORY DISTRICT,Vermont,VT ,5099902,3-Supervisory union administrative center (or county superintendent's office serving the same purpose),†,0.00
ADDISON NORTHWEST UNIFIED UNION SCHOOL DISTRICT #54,VERMONT,VT ,5000398,2-Local school district that is a component of a supervisory union,940,84.83
ADDISON SD 4,Illinois,IL ,1703150,1-Regular local school district that is NOT a component of a supervisory union,3461,292.00
ADEL DESOTO MINBURN COMM SCHOOL DISTRICT,Iowa,IA ,1903150,1-Regular local school district that is NOT a component of a supervisory union,2254,150.57
ADEL SD 21,Oregon,OR ,4100990,1-Regular local school district that is NOT a component of a supervisory union,12,2.00
ADELANTE CHARTER DISTRICT,CALIFORNIA,CA ,0602343,7-Independent Charter District,297,16.95
ADELANTE SCHOOLS,INDIANA,IN ,1800216,7-Independent Charter District,330,15.01
ADELANTO ELEMENTARY,California,CA ,0601710,1-Regular local school district that is NOT a component of a supervisory union,7742,343.51
ADELINE MONTESSORI SCHOOL INC.,WISCONSIN,WI ,5500089,7-Independent Charter District,103,9.30
ADENA LOCAL,Ohio,OH ,3904949,1-Regular local school district that is NOT a component of a supervisory union,1186,57.40
ADIRONDACK CENTRAL SCHOOL DISTRICT,New York,NY ,3605040,1-Regular local school district that is NOT a component of a supervisory union,1195,91.00
ADLAI E STEVENSON HSD 125,Illinois,IL ,1732580,1-Regular local school district that is NOT a component of a supervisory union,4489,252.63
ADMIRAL PEARY AVTS,Pennsylvania,PA ,4280120,9-Specialized public school district,15,21.00
ADNA SCHOOL DISTRICT,Washington,WA ,5300060,1-Regular local school district that is NOT a component of a supervisory union,648,36.84
ADRIAN ISD,Texas,TX ,4807500,1-Regular local school district that is NOT a component of a supervisory union,120,14.80
ADRIAN PUBLIC SCHOOL DISTRICT,Minnesota,MN ,2702730,1-Regular local school district that is NOT a component of a supervisory union,573,41.61
ADRIAN PUBLIC SCHOOLS,Michigan,MI ,2601950,1-Regular local school district that is NOT a component of a supervisory union,2771,175.80
ADRIAN R-III,Missouri,MO ,2902850,1-Regular local school district that is NOT a component of a supervisory union,730,55.00
ADRIAN SD 61,Oregon,OR ,4101020,1-Regular local school district that is NOT a component of a supervisory union,275,21.60
ADVANCE R-IV,Missouri,MO ,2902880,1-Regular local school district that is NOT a component of a supervisory union,420,33.55
ADVANCED MATH AND SCIENCE ACADEMY CHARTER (DISTRICT),Massachusetts,MA ,2500085,7-Independent Charter District,966,80.49
ADVANCED TECHNOLOGY ACADEMY,Michigan,MI ,2600255,7-Independent Charter District,1215,54.24
ADVANTAGE ACADEMY,Texas,TX ,4800041,7-Independent Charter District,1012,60.44
ADVANTAGE ARTS ACADEMY,UTAH,UT ,4900198,7-Independent Charter District,332,16.92
ADVANTAGE CHARTER ACADEMY,LOUISIANA,LA ,2200268,7-Independent Charter District,509,20.61
AEA 13 GREEN HILLS AEA,Iowa,IA ,1999013,4-Regional Education Service Agency (RESA),†,21.01
AECI II:  NYC CHARTER HS,NEW YORK,NY ,3601195,7-Independent Charter District,418,30.00
AEROSTEM ACADEMY DISTRICT,CALIFORNIA,CA ,0601724,7-Independent Charter District,133,6.02
AFFTON 101,Missouri,MO ,2902910,1-Regular local school district that is NOT a component of a supervisory union,2608,181.00
AFSA HIGH SCHOOL,Minnesota,MN ,2700186,7-Independent Charter District,420,35.84
AFTON,Oklahoma,OK ,4002520,1-Regular local school district that is NOT a component of a supervisory union,477,32.29
AFTON CENTRAL SCHOOL DISTRICT,New York,NY ,3602400,1-Regular local school district that is NOT a component of a supervisory union,494,60.00
AGAMIM CLASSICAL ACADEMY,Minnesota,MN ,2700394,7-Independent Charter District,268,19.54
AGAR-BLUNT-ONIDA SCHOOL DISTRICT 58-3,South Dakota,SD ,4600042,1-Regular local school district that is NOT a component of a supervisory union,231,27.34
AGATE SCHOOL DISTRICT NO. 300,Colorado,CO ,0801980,1-Regular local school district that is NOT a component of a supervisory union,81,11.13
AGAWAM,Massachusetts,MA ,2501800,1-Regular local school district that is NOT a component of a supervisory union,3492,275.56
AGBU ALEX-MARIE MANOOGIAN SCHOOL,Michigan,MI ,2600106,7-Independent Charter District,425,20.83
AGGIE ACADEMY,NORTH CAROLINA,NC ,3700487,1-Regular local school district that is NOT a component of a supervisory union,70,10.00
AGNES J. JOHNSON CHARTER DISTRICT,CALIFORNIA,CA ,0602543,7-Independent Charter District,82,4.99
AGORA CYBER CS,Pennsylvania,PA ,4200140,7-Independent Charter District,4966,415.84
AGRA,Oklahoma,OK ,4002550,1-Regular local school district that is NOT a component of a supervisory union,325,16.33
AGUA DULCE ISD,Texas,TX ,4807530,1-Regular local school district that is NOT a component of a supervisory union,408,29.01
AGUA FRIA UNION HIGH SCHOOL DISTRICT (4289),Arizona,AZ ,0400450,1-Regular local school district that is NOT a component of a supervisory union,9632,445.80
AGUILA ELEMENTARY DISTRICT (4249),Arizona,AZ ,0400480,1-Regular local school district that is NOT a component of a supervisory union,142,10.84
AGUILAR REORGANIZED SCHOOL DISTRICT NO. 6,Colorado,CO ,0802010,1-Regular local school district that is NOT a component of a supervisory union,119,11.24
AGWSR COMM SCHOOL DISTRICT,Iowa,IA ,1903060,1-Regular local school district that is NOT a component of a supervisory union,650,53.84
AHFACHKEE DAY SCHOOL,Bureau of Indian Education,BI ,5900092,1-Regular local school district that is NOT a component of a supervisory union,185,23.00
AHSTW COMM SCHOOL DISTRICT,Iowa,IA ,1904080,1-Regular local school district that is NOT a component of a supervisory union,776,58.57
AIBT NON-PROFIT CHARTER HIGH SCHOOL - PHOENIX (79053),Arizona,AZ ,0400274,7-Independent Charter District,80,–
AIBT NON-PROFIT CHARTER HIGH SCHOOL INC. (449790),ARIZONA,AZ ,0400970,7-Independent Charter District,10,–
AIKEN 01,South Carolina,SC ,4500720,1-Regular local school district that is NOT a component of a supervisory union,23181,1569.25
AIM ACADEMY OF SCIENCE & TECHNOLOGY,MINNESOTA,MN ,2700469,7-Independent Charter District,143,8.00
AINSWORTH COMMUNITY SCHOOLS,Nebraska,NE ,3102790,1-Regular local school district that is NOT a component of a supervisory union,407,44.05
AIRLINE CSD,Maine,ME ,2302500,1-Regular local school district that is NOT a component of a supervisory union,43,5.30
AIRPORT COMMUNITY SCHOOLS,Michigan,MI ,2601980,1-Regular local school district that is NOT a component of a supervisory union,2809,155.53
AITKIN PUBLIC SCHOOL DISTRICT,Minnesota,MN ,2702760,1-Regular local school district that is NOT a component of a supervisory union,1028,82.45
AJO UNIFIED DISTRICT (4409),Arizona,AZ ,0400520,1-Regular local school district that is NOT a component of a supervisory union,403,18.50
AKILI ACADEMY OF NEW ORLEANS,LOUISIANA,LA ,2200208,7-Independent Charter District,589,35.92
AKIMEL O OTHAM PEE POSH CHARTER SCHOOL INC. (5978),Arizona,AZ ,0400403,7-Independent Charter District,39,–
AKIMEL O'OTHAM PEE POSH CHARTER SCHOOL INC. (78966),Arizona,AZ ,0400404,7-Independent Charter District,9,–
AKIN CCSD 91,Illinois,IL ,1703210,1-Regular local school district that is NOT a component of a supervisory union,106,10.45
AKRON CAREER TECH HIGH SCHOOL,OHIO,OH ,3901631,7-Independent Charter District,64,8.00
AKRON CENTRAL SCHOOL DISTRICT,New York,NY ,3602430,1-Regular local school district that is NOT a component of a supervisory union,1296,113.05
AKRON CITY,Ohio,OH ,3904348,1-Regular local school district that is NOT a component of a supervisory union,20543,1625.00
AKRON PREPARATORY SCHOOL,Ohio,OH ,3901503,7-Independent Charter District,344,12.00
AKRON SCHOOL DISTRICT NO. R-1,Colorado,CO ,0802040,1-Regular local school district that is NOT a component of a supervisory union,427,35.32
AKRON WESTFIELD COMM SCHOOL DISTRICT,Iowa,IA ,1903220,1-Regular local school district that is NOT a component of a supervisory union,608,53.19
AKRON-FAIRGROVE SCHOOLS,Michigan,MI ,2602010,1-Regular local school district that is NOT a component of a supervisory union,340,21.70
AKROS MIDDLE SCHOOL,Ohio,OH ,3901428,7-Independent Charter District,141,12.40
AL INST DEAF AND BLIND,Alabama,AL ,0100009,5-State agency providing elementary and/or secondary level instruction,–,0.00
AL SCH OF MATH AND SCIENCE,Alabama,AL ,0100010,5-State agency providing elementary and/or secondary level instruction,–,0.00
ALABAMA AEROSPACE AND AVIATION,ALABAMA,AL ,0100213,7-Independent Charter District,79,5.00
ALABAMA SCHOOL OF CYBER TECHNOLOGY AND ENGINEERING,ALABAMA,AL ,0100212,5-State agency providing elementary and/or secondary level instruction,–,0.00
