ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): All 50 + DC and outlying territories

Agency Name,State Name [District] Latest available year,State Abbr [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,Agency Type [District] 2022-23,Total Students All Grades (Excludes AE) [District] 2022-23,Full-Time Equivalent (FTE) Teachers [District] 2022-23
ALABAMA SCHOOL OF FINE ARTS,Alabama,AL ,0100018,5-State agency providing elementary and/or secondary level instruction,–,0.00
ALABAMA YOUTH SERVICES,Alabama,AL ,0100002,1-Regular local school district that is NOT a component of a supervisory union,–,0.00
ALABASTER CITY,Alabama,AL ,0100190,1-Regular local school district that is NOT a component of a supervisory union,6425,367.38
ALACHUA,Florida,FL ,1200030,1-Regular local school district that is NOT a component of a supervisory union,28964,1460.78
ALAIN LEROY LOCKE COLLEGE PREPARATORY ACADEMY DISTRICT,CALIFORNIA,CA ,0602092,7-Independent Charter District,1256,67.91
ALAMANCE COMMUNITY SCHOOL,NORTH CAROLINA,NC ,3700467,7-Independent Charter District,532,30.92
ALAMANCE-BURLINGTON SCHOOLS,North Carolina,NC ,3700030,1-Regular local school district that is NOT a component of a supervisory union,22489,1478.01
ALAMEDA CNTY. STUDENT EXCHANGE PROG.,California,CA ,0601355,4-Regional Education Service Agency (RESA),†,†
ALAMEDA COMMUNITY LEARNING CENTER DISTRICT,CALIFORNIA,CA ,0601664,7-Independent Charter District,398,18.08
ALAMEDA COUNTY OFFICE OF EDUCATION,California,CA ,0691051,1-Regular local school district that is NOT a component of a supervisory union,264,18.69
ALAMEDA UNIFIED,California,CA ,0601770,1-Regular local school district that is NOT a component of a supervisory union,8830,373.77
ALAMO,Tennessee,TN ,4700030,1-Regular local school district that is NOT a component of a supervisory union,578,38.50
ALAMO HEIGHTS ISD,Texas,TX ,4807590,1-Regular local school district that is NOT a component of a supervisory union,4762,358.16
ALAMO NAVAJO COMMUNITY SCHOOL,Bureau of Indian Education,BI ,5900046,1-Regular local school district that is NOT a component of a supervisory union,323,27.00
ALAMOGORDO PUBLIC SCHOOLS,New Mexico,NM ,3500030,1-Regular local school district that is NOT a component of a supervisory union,5575,326.95
ALAMOSA SCHOOL DISTRICT NO. RE-11J,Colorado,CO ,0802070,1-Regular local school district that is NOT a component of a supervisory union,2116,135.54
ALANSON PUBLIC SCHOOLS,Michigan,MI ,2621810,1-Regular local school district that is NOT a component of a supervisory union,229,19.17
ALASKA GATEWAY SCHOOL DISTRICT,Alaska,AK ,0200050,1-Regular local school district that is NOT a component of a supervisory union,386,35.17
ALBA PUBLIC SCHOOLS,Michigan,MI ,2602040,1-Regular local school district that is NOT a component of a supervisory union,96,7.20
ALBA-GOLDEN ISD,Texas,TX ,4807650,1-Regular local school district that is NOT a component of a supervisory union,823,77.26
ALBANY CITY SCHOOL DISTRICT,New York,NY ,3602460,1-Regular local school district that is NOT a component of a supervisory union,8146,668.42
ALBANY CITY UNIFIED,California,CA ,0601860,1-Regular local school district that is NOT a component of a supervisory union,3529,170.09
ALBANY COUNTY SCHOOL DISTRICT #1,Wyoming,WY ,5600730,1-Regular local school district that is NOT a component of a supervisory union,3902,341.04
ALBANY ISD,Texas,TX ,4807680,1-Regular local school district that is NOT a component of a supervisory union,498,43.71
ALBANY LEADERSHIP CHARTER SCHOOL FOR GIRLS,New York,NY ,3601006,7-Independent Charter District,420,54.00
ALBANY PUBLIC SCHOOL DISTRICT,Minnesota,MN ,2702930,1-Regular local school district that is NOT a component of a supervisory union,1788,101.84
ALBANY R-III,Missouri,MO ,2902970,1-Regular local school district that is NOT a component of a supervisory union,451,37.63
ALBANY SCHOOL DISTRICT,Wisconsin,WI ,5500120,1-Regular local school district that is NOT a component of a supervisory union,271,35.80
ALBANY SCHOOL DISTRICT,New Hampshire,NH ,3301350,1-Regular local school district that is NOT a component of a supervisory union,†,†
ALBANY-SCHOHARIE-SCHENECTADY-SARATOGA BOCES,New York,NY ,3680100,4-Regional Education Service Agency (RESA),0,109.70
ALBEMARLE COUNTY PUBLIC SCHOOLS,Virginia,VA ,5100090,1-Regular local school district that is NOT a component of a supervisory union,13937,1083.50
ALBERS SD 63,Illinois,IL ,1703270,1-Regular local school district that is NOT a component of a supervisory union,157,10.90
ALBERT CITY-TRUESDALE COMM SCHOOL DISTRICT,Iowa,IA ,1900031,1-Regular local school district that is NOT a component of a supervisory union,114,10.66
ALBERT EINSTEIN ACADEMY CHARTER MIDDLE DISTRICT,CALIFORNIA,CA ,0601896,7-Independent Charter District,1440,60.11
ALBERT EINSTEIN ACADEMY FOR LETTERS ARTS AND SCIENCES-OHIO,Ohio,OH ,3901539,7-Independent Charter District,390,40.00
ALBERT GALLATIN AREA SD,Pennsylvania,PA ,4202100,1-Regular local school district that is NOT a component of a supervisory union,3046,218.10
ALBERT LEA PUBLIC SCHOOL DISTRICT,Minnesota,MN ,2702970,1-Regular local school district that is NOT a component of a supervisory union,3460,228.49
ALBERTON K-12 SCHOOLS,Montana,MT ,3001860,1-Regular local school district that is NOT a component of a supervisory union,166,18.08
ALBERTVILLE CITY,Alabama,AL ,0100005,1-Regular local school district that is NOT a component of a supervisory union,5900,303.20
ALBIA COMM SCHOOL DISTRICT,Iowa,IA ,1903270,1-Regular local school district that is NOT a component of a supervisory union,1120,79.88
ALBION,Oklahoma,OK ,4002580,1-Regular local school district that is NOT a component of a supervisory union,46,3.64
ALBION CENTRAL SCHOOL DISTRICT,New York,NY ,3602520,1-Regular local school district that is NOT a component of a supervisory union,1782,152.27
ALBUQUERQUE BILINGUAL ACADEMY,New Mexico,NM ,3500134,7-Independent Charter District,379,26.00
ALBUQUERQUE COLLEGIATE CHARTER SCHOOL,NEW MEXICO,NM ,3500181,7-Independent Charter District,181,17.00
ALBUQUERQUE INSTITUTE OF MATH & SCIENCE,New Mexico,NM ,3500130,7-Independent Charter District,342,19.50
ALBUQUERQUE PUBLIC SCHOOLS,New Mexico,NM ,3500060,1-Regular local school district that is NOT a component of a supervisory union,79805,5794.97
ALBURG SCHOOL DISTRICT,Vermont,VT ,5001770,2-Local school district that is a component of a supervisory union,203,15.60
ALBURNETT COMM SCHOOL DISTRICT,Iowa,IA ,1903300,1-Regular local school district that is NOT a component of a supervisory union,810,58.98
ALCESTER-HUDSON SCHOOL DISTRICT 61-1,South Dakota,SD ,4600028,1-Regular local school district that is NOT a component of a supervisory union,352,31.01
ALCOA,Tennessee,TN ,4700060,1-Regular local school district that is NOT a component of a supervisory union,2211,144.50
ALCONA COMMUNITY SCHOOLS,Michigan,MI ,2602160,1-Regular local school district that is NOT a component of a supervisory union,677,73.32
ALCORN SCHOOL DIST,Mississippi,MS ,2800390,1-Regular local school district that is NOT a component of a supervisory union,3188,262.69
ALDEN CENTRAL SCHOOL DISTRICT,New York,NY ,3602550,1-Regular local school district that is NOT a component of a supervisory union,1507,117.20
ALDEN COMM SCHOOL DISTRICT,Iowa,IA ,1900032,1-Regular local school district that is NOT a component of a supervisory union,159,17.04
ALDEN HEBRON SD 19,Illinois,IL ,1703300,1-Regular local school district that is NOT a component of a supervisory union,438,37.10
ALDEN-CONGER PUBLIC SCHOOL DISTRICT,Minnesota,MN ,2703030,1-Regular local school district that is NOT a component of a supervisory union,447,34.79
ALDER ELEM,Montana,MT ,3017460,1-Regular local school district that is NOT a component of a supervisory union,17,3.00
ALDER GROVE CHARTER SCHOOL 2 DISTRICT,CALIFORNIA,CA ,0602072,7-Independent Charter District,429,27.63
ALDINE ISD,Texas,TX ,4807710,1-Regular local school district that is NOT a component of a supervisory union,60074,3510.07
ALDO LEOPOLD CHARTER,New Mexico,NM ,3500138,7-Independent Charter District,182,16.58
ALEDO ISD,Texas,TX ,4807780,1-Regular local school district that is NOT a component of a supervisory union,7857,501.26
ALEGENT/IMMANUEL RTC,Nebraska,NE ,3100181,8-Other education agencies,0,2.00
ALEUTIAN REGION SCHOOL DISTRICT,Alaska,AK ,0200010,1-Regular local school district that is NOT a component of a supervisory union,16,4.00
ALEUTIANS EAST BOROUGH SCHOOL DISTRICT,Alaska,AK ,0200007,1-Regular local school district that is NOT a component of a supervisory union,211,26.00
ALEX,Oklahoma,OK ,4002670,1-Regular local school district that is NOT a component of a supervisory union,304,28.00
ALEXANDER 2,North Dakota,ND ,3801760,1-Regular local school district that is NOT a component of a supervisory union,321,27.00
ALEXANDER CENTRAL SCHOOL DISTRICT,New York,NY ,3602580,1-Regular local school district that is NOT a component of a supervisory union,751,79.89
ALEXANDER CITY,Alabama,AL ,0100030,1-Regular local school district that is NOT a component of a supervisory union,2899,169.00
ALEXANDER COUNTY SCHOOLS,North Carolina,NC ,3700090,1-Regular local school district that is NOT a component of a supervisory union,4525,290.23
ALEXANDER LOCAL,Ohio,OH ,3904590,1-Regular local school district that is NOT a component of a supervisory union,1424,94.83
ALEXANDER PUBLIC SCHOOLS,Maine,ME ,2302280,1-Regular local school district that is NOT a component of a supervisory union,35,5.89
ALEXANDER VALLEY UNION ELEMENTARY,California,CA ,0601890,1-Regular local school district that is NOT a component of a supervisory union,112,8.40
ALEXANDRIA CENTRAL SCHOOL DISTRICT,New York,NY ,3602670,1-Regular local school district that is NOT a component of a supervisory union,459,50.67
ALEXANDRIA CITY PUBLIC SCHOOLS,Virginia,VA ,5100120,1-Regular local school district that is NOT a component of a supervisory union,16040,1163.75
ALEXANDRIA COMMUNITY SCHOOL CORP,Indiana,IN ,1800120,1-Regular local school district that is NOT a component of a supervisory union,1522,102.00
ALEXANDRIA PUBLIC SCHOOL DISTRICT,Minnesota,MN ,2703060,1-Regular local school district that is NOT a component of a supervisory union,4046,291.24
ALEXANDRIA TOWNSHIP SCHOOL DISTRICT,New Jersey,NJ ,3400690,1-Regular local school district that is NOT a component of a supervisory union,450,51.00
ALFRED-ALMOND CENTRAL SCHOOL DISTRICT,New York,NY ,3602700,1-Regular local school district that is NOT a component of a supervisory union,563,54.00
ALGOMA SCHOOL DISTRICT,Wisconsin,WI ,5500150,1-Regular local school district that is NOT a component of a supervisory union,664,61.24
ALGONA COMM SCHOOL DISTRICT,Iowa,IA ,1903360,1-Regular local school district that is NOT a component of a supervisory union,1592,99.58
ALGONAC COMMUNITY SCHOOL DISTRICT,Michigan,MI ,2602190,1-Regular local school district that is NOT a component of a supervisory union,1364,72.51
ALHAMBRA ELEMENTARY DISTRICT (4280),Arizona,AZ ,0400600,1-Regular local school district that is NOT a component of a supervisory union,10157,555.50
ALHAMBRA UNIFIED,California,CA ,0600153,1-Regular local school district that is NOT a component of a supervisory union,14922,639.26
ALICE ISD,Texas,TX ,4807800,1-Regular local school district that is NOT a component of a supervisory union,4506,300.33
ALICE M HARTE ELEMENTARY CHARTER SCHOOL,LOUISIANA,LA ,2200279,7-Independent Charter District,792,22.67
ALIEF ISD,Texas,TX ,4807830,1-Regular local school district that is NOT a component of a supervisory union,40329,2966.58
ALIEF MONTESSORI COMMUNITY SCHOOL,Texas,TX ,4800035,7-Independent Charter District,370,18.15
ALINE-CLEO,Oklahoma,OK ,4002720,1-Regular local school district that is NOT a component of a supervisory union,106,14.01
ALIQUIPPA SD,Pennsylvania,PA ,4202130,1-Regular local school district that is NOT a component of a supervisory union,949,85.40
ALISAL UNION,California,CA ,0601950,1-Regular local school district that is NOT a component of a supervisory union,7509,323.00
ALL ABOARD CHARTER SCHOOL (79969),Arizona,AZ ,0400396,7-Independent Charter District,†,†
ALL TRIBES CHARTER DISTRICT,CALIFORNIA,CA ,0601989,7-Independent Charter District,59,5.00
ALL TRIBES ELEMENTARY CHARTER DISTRICT,CALIFORNIA,CA ,0601521,7-Independent Charter District,51,2.51
ALLAMAKEE COMM SCHOOL DISTRICT,Iowa,IA ,1903390,1-Regular local school district that is NOT a component of a supervisory union,1164,80.29
ALLAMUCHY TOWNSHIP SCHOOL DISTRICT,New Jersey,NJ ,3400720,1-Regular local school district that is NOT a component of a supervisory union,426,34.00
ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,Michigan,MI ,2680100,9-Specialized public school district,389,58.55
ALLEGAN PUBLIC SCHOOLS,Michigan,MI ,2602220,1-Regular local school district that is NOT a component of a supervisory union,2198,129.00
ALLEGANY COUNTY PUBLIC SCHOOLS,Maryland,MD ,2400030,1-Regular local school district that is NOT a component of a supervisory union,8181,618.61
ALLEGANY-LIMESTONE CENTRAL SCHOOL DISTRICT,New York,NY ,3600015,1-Regular local school district that is NOT a component of a supervisory union,1087,94.20
ALLEGHANY COUNTY SCHOOLS,North Carolina,NC ,3700120,1-Regular local school district that is NOT a component of a supervisory union,1421,114.25
ALLEGHANY HIGHLANDS PUBLIC SCHOOLS,Virginia,VA ,5100152,1-Regular local school district that is NOT a component of a supervisory union,2878,228.50
ALLEGHENY IU 3,Pennsylvania,PA ,4289130,4-Regional Education Service Agency (RESA),518,366.00
ALLEGHENY VALLEY SD,Pennsylvania,PA ,4202190,1-Regular local school district that is NOT a component of a supervisory union,889,89.35
ALLEGHENY-CLARION VALLEY SD,Pennsylvania,PA ,4202310,1-Regular local school district that is NOT a component of a supervisory union,593,60.45
ALLEGIANCE STEAM ACADEMY - THRIVE DISTRICT,CALIFORNIA,CA ,0602175,7-Independent Charter District,956,40.96
ALLEGIANCE STEAM ACADEMY - THRIVE FONTANA DISTRICT,CALIFORNIA,CA ,0691138,7-Independent Charter District,†,†
ALLEGIANT PREPARATORY ACADEMY,INDIANA,IN ,1800199,7-Independent Charter District,144,8.00
ALLEN,Oklahoma,OK ,4002760,1-Regular local school district that is NOT a component of a supervisory union,449,34.23
ALLEN CONSOLIDATED SCHOOLS,Nebraska,NE ,3102880,1-Regular local school district that is NOT a component of a supervisory union,142,19.83
ALLEN COUNTY,Kentucky,KY ,2100070,1-Regular local school district that is NOT a component of a supervisory union,3149,181.76
ALLEN COUNTY ESC,Ohio,OH ,3904574,4-Regional Education Service Agency (RESA),0,13.50
ALLEN EAST LOCAL,Ohio,OH ,3904575,1-Regular local school district that is NOT a component of a supervisory union,1065,57.99
ALLEN ISD,Texas,TX ,4807890,1-Regular local school district that is NOT a component of a supervisory union,21769,1343.50
ALLEN PARISH,Louisiana,LA ,2200060,1-Regular local school district that is NOT a component of a supervisory union,4136,308.50
ALLEN PARK PUBLIC SCHOOLS,Michigan,MI ,2602520,1-Regular local school district that is NOT a component of a supervisory union,3684,194.02
ALLEN VILLAGE,Missouri,MO ,2900025,7-Independent Charter District,422,33.68
ALLEN-BOWDEN,Oklahoma,OK ,4002790,1-Regular local school district that is NOT a component of a supervisory union,277,21.26
ALLEN-COCHRAN ENTERPRISES INC. (4347),Arizona,AZ ,0400111,7-Independent Charter District,319,–
ALLEN-OTTER CREEK CCSD 65,Illinois,IL ,1703420,1-Regular local school district that is NOT a component of a supervisory union,96,14.00
ALLENDALE 01,South Carolina,SC ,4500750,1-Regular local school district that is NOT a component of a supervisory union,974,98.00
ALLENDALE CCSD 17,Illinois,IL ,1703450,1-Regular local school district that is NOT a component of a supervisory union,143,11.20
ALLENDALE PUBLIC SCHOOL DISTRICT,New Jersey,NJ ,3400750,1-Regular local school district that is NOT a component of a supervisory union,914,70.00
ALLENDALE PUBLIC SCHOOLS,Michigan,MI ,2602550,1-Regular local school district that is NOT a component of a supervisory union,2636,162.64
ALLENHURST SCHOOL DISTRICT,New Jersey,NJ ,3400780,8-Other education agencies,†,†
ALLENSTOWN SCHOOL DISTRICT,New Hampshire,NH ,3301380,1-Regular local school district that is NOT a component of a supervisory union,339,32.10
ALLENSWORTH ELEMENTARY,California,CA ,0601980,1-Regular local school district that is NOT a component of a supervisory union,91,4.95
ALLENTOWN CITY SD,Pennsylvania,PA ,4202280,1-Regular local school district that is NOT a component of a supervisory union,15988,1043.00
ALLIANCE ACADEMY OF CINCINNATI,Ohio,OH ,3900130,7-Independent Charter District,465,24.14
ALLIANCE CINDY AND BILL SIMON TECHNOLOGY ACAD HIGH DISTRICT,CALIFORNIA,CA ,0602119,7-Independent Charter District,507,23.32
ALLIANCE CITY,Ohio,OH ,3904349,1-Regular local school district that is NOT a component of a supervisory union,2987,156.63
ALLIANCE COLLEGE-READY MIDDLE ACADEMY 12 DISTRICT,CALIFORNIA,CA ,0602453,7-Independent Charter District,493,18.10
ALLIANCE COLLEGE-READY MIDDLE ACADEMY 4 DISTRICT,CALIFORNIA,CA ,0601865,7-Independent Charter District,460,22.08
ALLIANCE COLLEGE-READY MIDDLE ACADEMY 8 DISTRICT,CALIFORNIA,CA ,0601589,7-Independent Charter District,407,18.92
ALLIANCE COLLINS FAMILY COLLEGE-READY HIGH DISTRICT,CALIFORNIA,CA ,0601666,7-Independent Charter District,611,33.56
ALLIANCE DR. OLGA MOHAN HIGH DISTRICT,CALIFORNIA,CA ,0601926,7-Independent Charter District,466,26.40
ALLIANCE FOR PROGRESS CS,Pennsylvania,PA ,4200039,7-Independent Charter District,558,31.00
ALLIANCE GERTZ-RESSLER RICHARD MERKIN 6-12 COMPLEX DISTRICT,CALIFORNIA,CA ,0602176,7-Independent Charter District,998,44.03
ALLIANCE JACK H. SKIRBALL MIDDLE DISTRICT,CALIFORNIA,CA ,0601694,7-Independent Charter District,400,18.18
ALLIANCE JUDY IVIE BURTON TECHNOLOGY ACADEMY HIGH DISTRICT,CALIFORNIA,CA ,0601934,7-Independent Charter District,608,29.97
ALLIANCE KORY HUNTER MIDDLE DISTRICT,CALIFORNIA,CA ,0601542,7-Independent Charter District,463,20.00
ALLIANCE LEICHTMAN-LEVINE FAM FOUNDATION ENV SCI HIGH DIST,CALIFORNIA,CA ,0601690,7-Independent Charter District,339,19.48
ALLIANCE MARC & EVA STERN MATH AND SCIENCE DISTRICT,CALIFORNIA,CA ,0602446,7-Independent Charter District,570,34.49
ALLIANCE MARGARET M.BLOOMFIELD TECHNOLOGY ACAD HIGH DISTRICT,CALIFORNIA,CA ,0601707,7-Independent Charter District,579,22.58
ALLIANCE MARINE - INNOVATION AND TECHN 6-12 COMPLEX DISTRICT,CALIFORNIA,CA ,0601835,7-Independent Charter District,1013,46.42
ALLIANCE MORGAN MCKINZIE HIGH DISTRICT,CALIFORNIA,CA ,0602407,7-Independent Charter District,462,25.48
ALLIANCE OUCHI-O'DONOVAN 6-12 COMPLEX DISTRICT,CALIFORNIA,CA ,0602266,7-Independent Charter District,976,44.98
ALLIANCE PATTI & PETER NEUWIRTH LEADERSHIP ACADEMY DISTRICT,CALIFORNIA,CA ,0602362,7-Independent Charter District,614,28.43
ALLIANCE PIERA BARBAGLIA SHAHEEN HLT SRVS ACADEMY DISTRICT,CALIFORNIA,CA ,0601900,7-Independent Charter District,497,23.56
ALLIANCE PUBLIC SCHOOLS,Nebraska,NE ,3102910,1-Regular local school district that is NOT a component of a supervisory union,1345,92.08
ALLIANCE RENEE AND MEYER LUSKIN ACADEMY HIGH DISTRICT,CALIFORNIA,CA ,0602279,7-Independent Charter District,502,27.53
ALLIANCE SUSAN AND ERIC SMIDT TECHNOLOGY HIGH DISTRICT,CALIFORNIA,CA ,0602190,7-Independent Charter District,307,20.47
ALLIANCE TED K. TAJIMA HIGH DISTRICT,CALIFORNIA,CA ,0601568,7-Independent Charter District,477,22.19
ALLIANCE TENNENBAUM FAMILY TECHNOLOGY HIGH DISTRICT,CALIFORNIA,CA ,0602289,7-Independent Charter District,205,13.53
